Date,NAV
13-10-2024,1301.83660
11-10-2024,1301.39070
10-10-2024,1301.16850
09-10-2024,1300.94710
08-10-2024,1300.72520
07-10-2024,1300.50470
06-10-2024,1300.28420
04-10-2024,1299.84160
03-10-2024,1299.62150
02-10-2024,1299.40060
01-10-2024,1299.17510
30-09-2024,1298.95110
29-09-2024,1298.71620
26-09-2024,1298.03130
25-09-2024,1297.80020
24-09-2024,1297.56550
23-09-2024,1297.33080
22-09-2024,1297.09490
19-09-2024,1296.38720
18-09-2024,1296.15190
17-09-2024,1295.91600
16-09-2024,1295.68140
15-09-2024,1295.44990
13-09-2024,1294.98290
12-09-2024,1294.75210
11-09-2024,1294.53000
10-09-2024,1294.30250
09-09-2024,1294.07810
08-09-2024,1293.85210
05-09-2024,1293.17370
04-09-2024,1292.95100
03-09-2024,1292.73040
02-09-2024,1292.50810
01-09-2024,1292.28420
30-08-2024,1291.81530
29-08-2024,1291.58220
28-08-2024,1291.35010
27-08-2024,1291.12420
26-08-2024,1290.89950
25-08-2024,1290.67710
22-08-2024,1289.99530
21-08-2024,1289.76510
20-08-2024,1289.53790
19-08-2024,1289.31220
18-08-2024,1289.08820
15-08-2024,1288.41120
13-08-2024,1287.96140
12-08-2024,1287.73860
11-08-2024,1287.51810
08-08-2024,1286.83540
07-08-2024,1286.60390
06-08-2024,1286.38210
05-08-2024,1286.16270
04-08-2024,1285.94100
02-08-2024,1285.49450
01-08-2024,1285.27250
31-07-2024,1285.04840
30-07-2024,1284.82480
29-07-2024,1284.60270
28-07-2024,1284.38080
26-07-2024,1283.93370
25-07-2024,1283.71120
24-07-2024,1283.48240
23-07-2024,1283.25070
22-07-2024,1283.02010
21-07-2024,1282.79190
18-07-2024,1282.11420
17-07-2024,1281.89040
16-07-2024,1281.66680
15-07-2024,1281.44460
14-07-2024,1281.22270
12-07-2024,1280.77930
11-07-2024,1280.55760
10-07-2024,1280.33200
09-07-2024,1280.10850
08-07-2024,1279.88530
07-07-2024,1279.66210
05-07-2024,1279.21260
04-07-2024,1278.98910
03-07-2024,1278.76930
02-07-2024,1278.54820
01-07-2024,1278.32590
30-06-2024,1278.10180
29-06-2024,1277.86600
27-06-2024,1277.39060
26-06-2024,1277.15860
25-06-2024,1276.93080
24-06-2024,1276.70420
23-06-2024,1276.47740
20-06-2024,1275.78380
19-06-2024,1275.55550
18-06-2024,1275.32750
17-06-2024,1275.09150
16-06-2024,1274.85650
13-06-2024,1274.15280
12-06-2024,1273.92670
11-06-2024,1273.70170
10-06-2024,1273.47300
09-06-2024,1273.24640
06-06-2024,1272.57320
05-06-2024,1272.35030
04-06-2024,1272.12780
03-06-2024,1271.90990
02-06-2024,1271.68840
30-05-2024,1270.99700
29-05-2024,1270.76900
28-05-2024,1270.54780
27-05-2024,1270.32500
26-05-2024,1270.09850
25-05-2024,1269.86510
23-05-2024,1269.39840
22-05-2024,1269.16450
21-05-2024,1268.93270
20-05-2024,1268.69840
18-05-2024,1268.23520
17-05-2024,1268.00370
16-05-2024,1267.77350
15-05-2024,1267.55720
14-05-2024,1267.34290
13-05-2024,1267.11180
12-05-2024,1266.88170
09-05-2024,1266.17620
08-05-2024,1265.94660
07-05-2024,1265.71970
06-05-2024,1265.49790
05-05-2024,1265.27730
02-05-2024,1264.62140
01-05-2024,1264.39890
29-04-2024,1263.94130
28-04-2024,1263.71240
25-04-2024,1263.02330
24-04-2024,1262.79360
23-04-2024,1262.56450
22-04-2024,1262.33650
21-04-2024,1262.11040
20-04-2024,1261.89090
18-04-2024,1261.45260
17-04-2024,1261.23550
