Date,NAV
13-10-2024,12.53880
11-10-2024,12.53420
10-10-2024,12.53160
09-10-2024,12.52920
08-10-2024,12.52670
07-10-2024,12.52390
06-10-2024,12.52140
03-10-2024,12.51440
02-10-2024,12.51150
01-10-2024,12.50920
30-09-2024,12.50590
29-09-2024,12.50240
26-09-2024,12.49520
25-09-2024,12.49270
24-09-2024,12.49070
23-09-2024,12.48820
22-09-2024,12.48550
19-09-2024,12.47810
18-09-2024,12.47540
17-09-2024,12.47300
16-09-2024,12.47060
15-09-2024,12.46810
13-09-2024,12.46330
12-09-2024,12.46090
11-09-2024,12.45870
10-09-2024,12.45640
09-09-2024,12.45410
08-09-2024,12.45180
05-09-2024,12.44480
04-09-2024,12.44250
03-09-2024,12.44010
02-09-2024,12.43790
01-09-2024,12.43530
30-08-2024,12.43050
29-08-2024,12.42820
28-08-2024,12.42600
27-08-2024,12.42370
26-08-2024,12.42130
25-08-2024,12.41900
23-08-2024,12.41430
22-08-2024,12.41200
21-08-2024,12.40960
20-08-2024,12.40730
19-08-2024,12.40480
18-08-2024,12.40260
15-08-2024,12.39560
13-08-2024,12.39080
12-08-2024,12.38850
11-08-2024,12.38620
08-08-2024,12.37930
07-08-2024,12.37680
06-08-2024,12.37450
05-08-2024,12.37240
04-08-2024,12.37010
02-08-2024,12.36560
01-08-2024,12.36330
31-07-2024,12.36090
30-07-2024,12.35870
29-07-2024,12.35640
28-07-2024,12.35410
26-07-2024,12.34960
25-07-2024,12.34730
24-07-2024,12.34490
23-07-2024,12.34260
22-07-2024,12.34040
21-07-2024,12.33820
18-07-2024,12.33130
17-07-2024,12.32890
15-07-2024,12.32450
14-07-2024,12.32200
12-07-2024,12.31750
11-07-2024,12.31510
10-07-2024,12.31270
09-07-2024,12.31040
08-07-2024,12.30810
07-07-2024,12.30600
05-07-2024,12.30150
04-07-2024,12.29930
03-07-2024,12.29710
02-07-2024,12.29500
01-07-2024,12.29180
30-06-2024,12.28820
28-06-2024,12.28360
27-06-2024,12.28060
26-06-2024,12.27840
25-06-2024,12.27630
24-06-2024,12.27450
23-06-2024,12.27230
21-06-2024,12.26770
20-06-2024,12.26540
19-06-2024,12.26310
18-06-2024,12.26080
17-06-2024,12.25850
13-06-2024,12.24940
12-06-2024,12.24720
11-06-2024,12.24480
10-06-2024,12.24250
09-06-2024,12.24020
06-06-2024,12.23350
05-06-2024,12.23120
04-06-2024,12.22880
03-06-2024,12.22670
02-06-2024,12.22420
30-05-2024,12.21740
29-05-2024,12.21530
28-05-2024,12.21300
27-05-2024,12.21080
26-05-2024,12.20860
24-05-2024,12.20410
23-05-2024,12.20180
22-05-2024,12.19960
21-05-2024,12.19730
20-05-2024,12.19360
17-05-2024,12.18670
16-05-2024,12.18420
15-05-2024,12.18200
14-05-2024,12.17960
13-05-2024,12.17680
12-05-2024,12.17450
09-05-2024,12.16780
08-05-2024,12.16590
07-05-2024,12.16410
06-05-2024,12.16230
05-05-2024,12.16000
02-05-2024,12.15320
01-05-2024,12.15120
29-04-2024,12.14670
28-04-2024,12.14440
25-04-2024,12.13820
24-04-2024,12.13660
23-04-2024,12.13470
22-04-2024,12.13250
21-04-2024,12.13020
18-04-2024,12.12380
17-04-2024,12.12180
15-04-2024,12.11730
14-04-2024,12.11480
11-04-2024,12.10830
09-04-2024,12.10260
08-04-2024,12.10040
07-04-2024,12.09730
04-04-2024,12.09020
03-04-2024,12.08770
02-04-2024,12.08510
01-04-2024,12.08020
31-03-2024,12.07790
28-03-2024,12.07080
27-03-2024,12.06440
26-03-2024,12.06240
25-03-2024,12.06080
22-03-2024,12.05350
21-03-2024,12.05190
20-03-2024,12.05000
19-03-2024,12.04770
18-03-2024,12.04530
17-03-2024,12.04300
14-03-2024,12.03600
13-03-2024,12.03390
12-03-2024,12.03130
11-03-2024,12.02870
10-03-2024,12.02620
06-03-2024,12.01680
05-03-2024,12.01470
04-03-2024,12.01220
03-03-2024,12.00960
01-03-2024,12.00500
29-02-2024,12.00270
28-02-2024,11.99990
27-02-2024,11.99760
26-02-2024,11.99510
25-02-2024,11.99290
22-02-2024,11.98600
21-02-2024,11.98300
20-02-2024,11.98030
19-02-2024,11.97780
16-02-2024,11.97080
15-02-2024,11.96830
14-02-2024,11.96560
13-02-2024,11.96330
12-02-2024,11.96100
11-02-2024,11.95880
08-02-2024,11.95170
07-02-2024,11.94980
06-02-2024,11.94750
05-02-2024,11.94530
04-02-2024,11.94290
01-02-2024,11.93570
31-01-2024,11.93320
30-01-2024,11.93130
29-01-2024,11.92920
28-01-2024,11.92680
25-01-2024,11.91990
24-01-2024,11.91770
23-01-2024,11.91570
22-01-2024,11.91430
19-01-2024,11.90740
18-01-2024,11.90520
17-01-2024,11.90300
16-01-2024,11.90110
15-01-2024,11.89900
14-01-2024,11.89690
12-01-2024,11.89240
11-01-2024,11.89000
10-01-2024,11.88780
09-01-2024,11.88540
08-01-2024,11.88220
07-01-2024,11.87970
05-01-2024,11.87510
04-01-2024,11.87290
03-01-2024,11.87010
02-01-2024,11.86740
01-01-2024,11.86480
31-12-2023,11.86170
29-12-2023,11.85710
28-12-2023,11.85310
27-12-2023,11.84980
26-12-2023,11.84790
25-12-2023,11.84580
22-12-2023,11.83880
21-12-2023,11.83660
20-12-2023,11.83420
19-12-2023,11.83180
18-12-2023,11.82910
17-12-2023,11.82710
15-12-2023,11.82240
14-12-2023,11.82090
13-12-2023,11.81870
12-12-2023,11.81640
11-12-2023,11.81480
10-12-2023,11.81290
07-12-2023,11.80610
06-12-2023,11.80390
05-12-2023,11.80150
04-12-2023,11.79910
03-12-2023,11.79690
30-11-2023,11.79040
29-11-2023,11.78820
28-11-2023,11.78620
27-11-2023,11.78400
23-11-2023,11.77520
22-11-2023,11.77310
21-11-2023,11.77090
20-11-2023,11.76860
19-11-2023,11.76640
16-11-2023,11.75980
15-11-2023,11.75760
14-11-2023,11.75530
12-11-2023,11.75070
09-11-2023,11.74420
08-11-2023,11.74200
07-11-2023,11.73990
06-11-2023,11.73770
05-11-2023,11.73540
03-11-2023,11.73090
02-11-2023,11.72880
01-11-2023,11.72640
31-10-2023,11.72430
30-10-2023,11.72200
29-10-2023,11.71960
27-10-2023,11.71520
26-10-2023,11.71310
25-10-2023,11.71110
24-10-2023,11.70890
23-10-2023,11.70670
22-10-2023,11.70460
20-10-2023,11.70020
19-10-2023,11.69840
18-10-2023,11.69660
17-10-2023,11.69430
16-10-2023,11.69210
15-10-2023,11.69000
12-10-2023,11.68360
11-10-2023,11.68130
10-10-2023,11.67950
09-10-2023,11.67740
08-10-2023,11.67530
05-10-2023,11.66920
04-10-2023,11.66720
03-10-2023,11.66460
02-10-2023,11.66230
30-09-2023,11.65800
29-09-2023,11.65590
28-09-2023,11.65290
27-09-2023,11.65090
26-09-2023,11.64850
25-09-2023,11.64680
24-09-2023,11.64470
21-09-2023,11.63820
20-09-2023,11.63590
19-09-2023,11.63380
17-09-2023,11.62970
15-09-2023,11.62540
14-09-2023,11.62320
13-09-2023,11.62070
12-09-2023,11.61860
11-09-2023,11.61690
10-09-2023,11.61480
