Date,NAV
13-10-2024,2542.98760
11-10-2024,2542.12690
10-10-2024,2541.65760
09-10-2024,2541.22130
08-10-2024,2540.71690
07-10-2024,2540.25700
06-10-2024,2539.79200
04-10-2024,2538.91120
03-10-2024,2538.40810
02-10-2024,2537.80380
01-10-2024,2537.36710
30-09-2024,2536.80840
29-09-2024,2536.02070
27-09-2024,2535.12630
26-09-2024,2534.67820
25-09-2024,2534.18640
24-09-2024,2533.77770
23-09-2024,2533.30480
22-09-2024,2532.81580
20-09-2024,2531.92760
19-09-2024,2531.42280
18-09-2024,2530.89740
17-09-2024,2530.45020
16-09-2024,2529.96780
15-09-2024,2529.52870
13-09-2024,2528.63590
12-09-2024,2528.21500
11-09-2024,2527.76410
10-09-2024,2527.34120
09-09-2024,2526.94690
08-09-2024,2526.51960
06-09-2024,2525.64510
05-09-2024,2525.24480
04-09-2024,2524.84000
03-09-2024,2524.39920
02-09-2024,2523.97340
01-09-2024,2523.50640
30-08-2024,2522.62880
29-08-2024,2522.18490
28-08-2024,2521.76980
27-08-2024,2521.34480
26-08-2024,2520.91570
25-08-2024,2520.49020
23-08-2024,2519.61770
22-08-2024,2519.18120
21-08-2024,2518.73900
20-08-2024,2518.29910
19-08-2024,2517.83410
18-08-2024,2517.41990
16-08-2024,2516.54790
15-08-2024,2516.11820
14-08-2024,2515.68640
13-08-2024,2515.22550
12-08-2024,2514.78260
11-08-2024,2514.36140
09-08-2024,2513.48450
08-08-2024,2513.04340
07-08-2024,2512.61520
06-08-2024,2512.16370
05-08-2024,2511.76380
04-08-2024,2511.29820
02-08-2024,2510.38390
01-08-2024,2510.02020
31-07-2024,2509.58100
30-07-2024,2509.13240
29-07-2024,2508.69470
28-07-2024,2508.26750
26-07-2024,2507.40840
25-07-2024,2506.97760
24-07-2024,2506.53530
23-07-2024,2506.10430
22-07-2024,2505.71020
21-07-2024,2505.26400
19-07-2024,2504.40870
18-07-2024,2503.97520
17-07-2024,2503.50050
16-07-2024,2503.06990
15-07-2024,2502.67000
14-07-2024,2502.17960
12-07-2024,2501.31900
11-07-2024,2500.84850
10-07-2024,2500.36510
09-07-2024,2499.91560
08-07-2024,2499.47920
07-07-2024,2499.10220
05-07-2024,2498.24570
04-07-2024,2497.89790
03-07-2024,2497.47680
02-07-2024,2497.02480
01-07-2024,2496.31730
30-06-2024,2495.55340
28-06-2024,2494.67330
27-06-2024,2493.98510
26-06-2024,2493.58240
25-06-2024,2493.20950
24-06-2024,2492.91190
23-06-2024,2492.49870
21-06-2024,2491.62750
20-06-2024,2491.17190
19-06-2024,2490.73260
18-06-2024,2490.28330
17-06-2024,2489.86330
14-06-2024,2488.55780
13-06-2024,2488.10930
12-06-2024,2487.72680
11-06-2024,2487.26390
10-06-2024,2486.82090
09-06-2024,2486.37920
06-06-2024,2485.08080
05-06-2024,2484.60410
04-06-2024,2484.14470
03-06-2024,2483.74310
02-06-2024,2483.24400
31-05-2024,2482.37860
30-05-2024,2481.94530
29-05-2024,2481.52280
