Date,NAV
13-10-2024,1148.42800
10-10-2024,1147.84660
09-10-2024,1147.65560
08-10-2024,1147.46350
07-10-2024,1147.27170
06-10-2024,1147.08200
04-10-2024,1146.70000
03-10-2024,1146.50970
02-10-2024,1146.22280
01-10-2024,1146.02930
30-09-2024,1145.83640
29-09-2024,1145.62980
26-09-2024,1145.03530
25-09-2024,1144.83970
24-09-2024,1144.64220
23-09-2024,1144.43670
22-09-2024,1144.23180
20-09-2024,1143.83110
19-09-2024,1143.63130
18-09-2024,1143.43230
17-09-2024,1143.23360
16-09-2024,1143.03550
15-09-2024,1142.84120
12-09-2024,1142.25860
11-09-2024,1142.06410
10-09-2024,1141.86610
09-09-2024,1141.67400
08-09-2024,1141.48480
05-09-2024,1140.90610
04-09-2024,1140.71420
03-09-2024,1140.52570
02-09-2024,1140.33540
01-09-2024,1140.14500
30-08-2024,1139.73880
29-08-2024,1139.53630
28-08-2024,1139.33250
27-08-2024,1139.13480
26-08-2024,1138.93670
25-08-2024,1138.74560
22-08-2024,1138.16710
21-08-2024,1137.97110
20-08-2024,1137.77700
19-08-2024,1137.58090
18-08-2024,1137.38670
16-08-2024,1137.00370
15-08-2024,1136.81250
13-08-2024,1136.42740
12-08-2024,1136.23430
11-08-2024,1136.04220
08-08-2024,1135.47550
07-08-2024,1135.27430
06-08-2024,1135.08160
05-08-2024,1134.89360
04-08-2024,1134.70560
02-08-2024,1134.32360
01-08-2024,1134.13380
31-07-2024,1133.93950
30-07-2024,1133.74540
29-07-2024,1133.55220
28-07-2024,1133.35970
25-07-2024,1132.77340
24-07-2024,1132.57710
23-07-2024,1132.37610
22-07-2024,1132.17340
21-07-2024,1131.97460
19-07-2024,1131.58070
18-07-2024,1131.38420
17-07-2024,1131.19100
15-07-2024,1130.80180
14-07-2024,1130.60940
12-07-2024,1130.22400
11-07-2024,1130.03170
10-07-2024,1129.83860
09-07-2024,1129.64440
08-07-2024,1129.45060
07-07-2024,1129.25560
05-07-2024,1128.86770
04-07-2024,1128.67420
03-07-2024,1128.48290
02-07-2024,1128.29170
01-07-2024,1128.00590
30-06-2024,1127.81180
28-06-2024,1127.40470
27-06-2024,1127.20180
26-06-2024,1126.99930
25-06-2024,1126.80320
24-06-2024,1126.60670
23-06-2024,1126.40770
20-06-2024,1125.80200
19-06-2024,1125.60740
18-06-2024,1125.41170
17-06-2024,1125.20910
14-06-2024,1124.60250
13-06-2024,1124.40090
12-06-2024,1124.20790
11-06-2024,1124.01380
10-06-2024,1123.81950
09-06-2024,1123.62570
06-06-2024,1123.04460
05-06-2024,1122.85290
04-06-2024,1122.65980
03-06-2024,1122.47040
02-06-2024,1122.28230
31-05-2024,1121.87840
30-05-2024,1121.67700
29-05-2024,1121.48560
28-05-2024,1121.29330
27-05-2024,1121.09820
26-05-2024,1120.90020
23-05-2024,1120.30630
22-05-2024,1120.10600
21-05-2024,1119.90630
20-05-2024,1119.70360
17-05-2024,1119.09660
16-05-2024,1118.89490
15-05-2024,1118.70910
14-05-2024,1118.52150
13-05-2024,1118.32360
12-05-2024,1118.12310
09-05-2024,1117.52280
08-05-2024,1117.32270
07-05-2024,1117.12440
06-05-2024,1116.93100
05-05-2024,1116.74270
03-05-2024,1116.36480
02-05-2024,1116.17650
01-05-2024,1115.98360
30-04-2024,1115.78650
29-04-2024,1115.58990
28-04-2024,1115.38970
25-04-2024,1114.79410
24-04-2024,1114.59380
23-04-2024,1114.39500
22-04-2024,1114.19650
21-04-2024,1113.99910
19-04-2024,1113.61920
18-04-2024,1113.42980
17-04-2024,1113.23970
15-04-2024,1112.86150
14-04-2024,1112.65440
11-04-2024,1112.06620
09-04-2024,1111.67040
08-04-2024,1111.47720
07-04-2024,1111.28470
05-04-2024,1110.89870
04-04-2024,1110.70630
03-04-2024,1110.51320
02-04-2024,1110.23580
01-04-2024,1110.04380
31-03-2024,1109.82990
28-03-2024,1109.18820
27-03-2024,1108.97630
26-03-2024,1108.77900
25-03-2024,1108.57770
21-03-2024,1107.76740
20-03-2024,1107.56720
19-03-2024,1107.37030
18-03-2024,1107.18100
17-03-2024,1106.98580
14-03-2024,1106.38600
13-03-2024,1106.19990
12-03-2024,1106.01340
11-03-2024,1105.81970
10-03-2024,1105.62120
06-03-2024,1104.84310
05-03-2024,1104.65320
04-03-2024,1104.46580
03-03-2024,1104.27910
29-02-2024,1103.69720
28-02-2024,1103.50020
27-02-2024,1103.31230
26-02-2024,1103.12650
25-02-2024,1102.92640
22-02-2024,1102.32930
21-02-2024,1102.14430
20-02-2024,1101.95890
19-02-2024,1101.76660
16-02-2024,1101.17410
15-02-2024,1100.97740
14-02-2024,1100.78100
13-02-2024,1100.58370
12-02-2024,1100.38560
11-02-2024,1100.18670
08-02-2024,1099.58850
07-02-2024,1099.39020
06-02-2024,1099.20380
05-02-2024,1099.01740
04-02-2024,1098.83110
02-02-2024,1098.45810
01-02-2024,1098.27240
31-01-2024,1098.07690
30-01-2024,1097.87950
29-01-2024,1097.68200
28-01-2024,1097.48290
25-01-2024,1096.88320
24-01-2024,1096.68400
23-01-2024,1096.48550
22-01-2024,1096.28810
19-01-2024,1095.68950
18-01-2024,1095.49210
17-01-2024,1095.29450
16-01-2024,1095.09600
15-01-2024,1094.89720
14-01-2024,1094.69800
11-01-2024,1094.10620
10-01-2024,1093.90900
09-01-2024,1093.71080
08-01-2024,1093.51550
07-01-2024,1093.32020
05-01-2024,1092.92700
04-01-2024,1092.73150
03-01-2024,1092.53650
02-01-2024,1092.24900
01-01-2024,1092.05100
31-12-2023,1091.85260
29-12-2023,1091.45350
28-12-2023,1091.25590
27-12-2023,1091.05720
26-12-2023,1090.85920
25-12-2023,1090.66010
22-12-2023,1090.06460
21-12-2023,1089.86710
20-12-2023,1089.66880
19-12-2023,1089.47120
18-12-2023,1089.27330
17-12-2023,1089.07560
15-12-2023,1088.68630
14-12-2023,1088.49270
13-12-2023,1088.29580
12-12-2023,1088.09900
11-12-2023,1087.90330
10-12-2023,1087.70650
07-12-2023,1087.11460
06-12-2023,1086.91850
05-12-2023,1086.72320
04-12-2023,1086.52650
03-12-2023,1086.32980
01-12-2023,1085.93490
30-11-2023,1085.73790
29-11-2023,1085.54100
28-11-2023,1085.34400
27-11-2023,1085.14590
24-11-2023,1084.54890
23-11-2023,1084.35110
22-11-2023,1084.15290
21-11-2023,1083.95530
20-11-2023,1083.75800
19-11-2023,1083.56060
16-11-2023,1082.96880
15-11-2023,1082.77240
14-11-2023,1082.57560
12-11-2023,1082.18160
09-11-2023,1081.58960
08-11-2023,1081.39300
07-11-2023,1081.19700
06-11-2023,1081.00120
05-11-2023,1080.80610
03-11-2023,1080.41410
02-11-2023,1080.21860
01-11-2023,1080.02450
31-10-2023,1079.82940
30-10-2023,1079.63390
29-10-2023,1079.43830
26-10-2023,1078.85020
25-10-2023,1078.65490
24-10-2023,1078.45910
22-10-2023,1078.06680
20-10-2023,1077.67420
19-10-2023,1077.47850
18-10-2023,1077.28300
17-10-2023,1077.08880
16-10-2023,1076.89370
15-10-2023,1076.69830
12-10-2023,1076.11120
11-10-2023,1075.91620
10-10-2023,1075.72100
09-10-2023,1075.48640
08-10-2023,1075.29230
06-10-2023,1074.90160
05-10-2023,1074.70760
04-10-2023,1074.51390
03-10-2023,1074.31960
02-10-2023,1074.12430
29-09-2023,1073.53190
28-09-2023,1073.33510
27-09-2023,1073.13920
26-09-2023,1072.94390
25-09-2023,1072.74900
24-09-2023,1072.55430
21-09-2023,1071.96910
20-09-2023,1071.77420
19-09-2023,1071.57960
17-09-2023,1071.18890
15-09-2023,1070.79830
14-09-2023,1070.60380
13-09-2023,1070.40910
12-09-2023,1070.21460
11-09-2023,1070.01980
10-09-2023,1069.82800
07-09-2023,1069.25320
06-09-2023,1069.06860
05-09-2023,1068.88910
04-09-2023,1068.70990
03-09-2023,1068.52890
01-09-2023,1068.15280
31-08-2023,1067.96520
30-08-2023,1067.77630
29-08-2023,1067.58710
28-08-2023,1067.39380
27-08-2023,1067.20050
24-08-2023,1066.61710
23-08-2023,1066.42320
22-08-2023,1066.22960
21-08-2023,1066.03610
20-08-2023,1065.84240
18-08-2023,1065.46240
17-08-2023,1065.27380
16-08-2023,1065.08130
14-08-2023,1064.70020
13-08-2023,1064.51070
10-08-2023,1063.96600
09-08-2023,1063.78330
08-08-2023,1063.60410
07-08-2023,1063.42580
06-08-2023,1063.24770
04-08-2023,1062.89010
03-08-2023,1062.71230
02-08-2023,1062.53420
01-08-2023,1062.35640
31-07-2023,1062.17790
30-07-2023,1061.99720
27-07-2023,1061.44580
26-07-2023,1061.26710
25-07-2023,1061.08750
