Date,NAV
13-10-2024,11.87600
11-10-2024,11.87190
10-10-2024,11.86910
09-10-2024,11.86650
08-10-2024,11.86440
07-10-2024,11.86120
06-10-2024,11.85950
04-10-2024,11.85540
03-10-2024,11.85060
02-10-2024,11.84970
01-10-2024,11.84770
30-09-2024,11.84390
29-09-2024,11.83850
27-09-2024,11.83440
26-09-2024,11.83210
25-09-2024,11.82770
24-09-2024,11.82510
23-09-2024,11.82280
22-09-2024,11.82160
21-09-2024,11.81950
20-09-2024,11.81740
19-09-2024,11.81230
18-09-2024,11.80820
17-09-2024,11.80610
16-09-2024,11.80390
15-09-2024,11.80110
13-09-2024,11.79690
12-09-2024,11.79260
11-09-2024,11.79040
10-09-2024,11.78800
09-09-2024,11.78390
08-09-2024,11.78310
06-09-2024,11.77890
05-09-2024,11.77690
04-09-2024,11.77660
03-09-2024,11.77390
02-09-2024,11.77090
01-09-2024,11.76950
30-08-2024,11.76530
29-08-2024,11.76570
28-08-2024,11.76410
27-08-2024,11.76230
26-08-2024,11.75710
25-08-2024,11.75400
23-08-2024,11.74980
22-08-2024,11.74800
21-08-2024,11.74450
20-08-2024,11.74040
19-08-2024,11.73930
18-08-2024,11.73620
16-08-2024,11.73200
15-08-2024,11.73120
14-08-2024,11.72910
13-08-2024,11.72630
12-08-2024,11.72520
11-08-2024,11.72250
09-08-2024,11.71830
08-08-2024,11.71650
07-08-2024,11.71460
06-08-2024,11.71100
05-08-2024,11.71030
04-08-2024,11.70370
02-08-2024,11.69950
01-08-2024,11.69760
31-07-2024,11.69440
30-07-2024,11.69220
29-07-2024,11.69090
28-07-2024,11.68760
26-07-2024,11.68330
25-07-2024,11.67930
24-07-2024,11.67710
23-07-2024,11.67370
22-07-2024,11.67130
21-07-2024,11.66500
19-07-2024,11.66070
18-07-2024,11.65950
17-07-2024,11.65570
16-07-2024,11.65360
15-07-2024,11.65070
14-07-2024,11.64740
12-07-2024,11.64310
11-07-2024,11.64030
10-07-2024,11.63700
09-07-2024,11.63380
08-07-2024,11.63270
07-07-2024,11.62970
05-07-2024,11.62540
04-07-2024,11.62380
03-07-2024,11.62160
02-07-2024,11.61700
01-07-2024,11.61290
30-06-2024,11.60740
29-06-2024,11.60520
28-06-2024,11.60300
27-06-2024,11.60220
26-06-2024,11.60050
25-06-2024,11.59780
24-06-2024,11.59630
23-06-2024,11.59280
21-06-2024,11.58840
20-06-2024,11.58840
19-06-2024,11.58300
18-06-2024,11.57980
17-06-2024,11.57800
16-06-2024,11.57580
14-06-2024,11.57150
13-06-2024,11.57150
12-06-2024,11.56700
11-06-2024,11.56080
10-06-2024,11.55960
09-06-2024,11.55610
07-06-2024,11.55170
06-06-2024,11.54630
05-06-2024,11.54380
04-06-2024,11.54090
03-06-2024,11.54240
02-06-2024,11.53850
01-06-2024,11.53630
31-05-2024,11.53410
30-05-2024,11.53130
29-05-2024,11.53250
28-05-2024,11.53200
27-05-2024,11.52890
26-05-2024,11.52680
24-05-2024,11.52240
23-05-2024,11.52040
22-05-2024,11.51820
21-05-2024,11.51510
19-05-2024,11.50780
18-05-2024,11.50560
17-05-2024,11.50330
16-05-2024,11.50170
15-05-2024,11.49990
14-05-2024,11.49500
13-05-2024,11.49140
12-05-2024,11.48610
10-05-2024,11.48170
09-05-2024,11.48040
08-05-2024,11.47890
07-05-2024,11.47780
06-05-2024,11.47530
05-05-2024,11.47270
03-05-2024,11.46830
02-05-2024,11.46470
01-05-2024,11.45930
30-04-2024,11.45710
29-04-2024,11.45560
28-04-2024,11.45340
26-04-2024,11.44900
25-04-2024,11.44620
24-04-2024,11.44780
23-04-2024,11.44970
22-04-2024,11.44830
21-04-2024,11.44010
19-04-2024,11.43570
18-04-2024,11.43950
17-04-2024,11.43330
16-04-2024,11.43110
15-04-2024,11.42990
14-04-2024,11.42850
13-04-2024,11.42630
12-04-2024,11.42410
11-04-2024,11.42810
10-04-2024,11.42590
09-04-2024,11.42150
08-04-2024,11.41930
07-04-2024,11.42020
06-04-2024,11.41810
05-04-2024,11.41590
04-04-2024,11.41220
03-04-2024,11.41150
02-04-2024,11.41210
01-04-2024,11.40180
31-03-2024,11.39960
30-03-2024,11.39740
28-03-2024,11.39530
27-03-2024,11.39010
26-03-2024,11.38580
25-03-2024,11.38180
22-03-2024,11.37520
21-03-2024,11.37630
20-03-2024,11.37640
19-03-2024,11.37370
18-03-2024,11.37380
17-03-2024,11.37090
15-03-2024,11.36660
14-03-2024,11.36290
13-03-2024,11.36210
12-03-2024,11.35940
11-03-2024,11.35760
10-03-2024,11.35460
08-03-2024,11.35030
07-03-2024,11.34810
06-03-2024,11.34650
05-03-2024,11.34380
04-03-2024,11.34160
03-03-2024,11.34110
02-03-2024,11.33890
01-03-2024,11.33670
29-02-2024,11.33600
28-02-2024,11.32780
27-02-2024,11.32610
26-02-2024,11.32270
25-02-2024,11.31540
24-02-2024,11.31320
23-02-2024,11.31100
22-02-2024,11.31140
21-02-2024,11.30920
20-02-2024,11.30400
19-02-2024,11.30290
18-02-2024,11.30070
16-02-2024,11.29640
