Fund House,Scheme Type,Scheme Category,Scheme Code,Scheme Name,NAV,Date
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100033,Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,928.26,14-10-2024
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100034,Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,143.97,14-10-2024
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,13.3373,14-10-2024
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,119.5882,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,108.023,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),650.2286,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),667.2691,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,163.694,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,100.195,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100047,Aditya Birla Sun Life Liquid Fund - Growth,400.6852,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,108.1346,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,100.2801,14-10-2024
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100057,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,11.4011,14-10-2024
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,77.9575,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100063,Aditya Birla Sun Life MNC Fund - Regular - IDCW,251.99,11-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,1459.02,11-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100077,DSP Bond Fund - IDCW,11.7705,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100078,DSP Bond Fund - Growth,77.1624,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100079,DSP Bond Fund - IDCW - Monthly,11.1308,14-10-2024
DSP Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,71.681,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100081,DSP Equity & Bond Fund- Regular Plan - Growth,352.847,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100082,DSP Equity & Bond Fund- Regular Plan - IDCW,31.461,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100084,DSP Gilt Fund - Regular Plan - Growth,91.8906,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100085,DSP Gilt Fund - Regular Plan - IDCW,12.1998,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100086,DSP Gilt Fund - Regular Plan - IDCW - Monthly,10.6659,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,100087,DSP Savings Fund - Regular Plan - Growth,50.0355,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,100088,DSP Savings Fund - Regular Plan - IDCW,12.1915,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,100089,DSP Savings Fund - Regular Plan - IDCW - Monthly,10.9403,14-10-2024
HDFC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,100119,HDFC Balanced Advantage Fund - Growth Plan,510.36,14-10-2024
HDFC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,100120,HDFC Balanced Advantage Fund - IDCW Plan,40.892,14-10-2024
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100123,HDFC Income Fund - Quarterly IDCW Option,11.3174,14-10-2024
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100124,HDFC Income Fund - Growth Option,55.3337,14-10-2024
quant Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100174,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,55.991,14-10-2024
quant Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,403.1964,14-10-2024
quant Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,100176,quant Small Cap Fund - IDCW Option - Regular Plan,219.9094,14-10-2024
quant Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,100177,quant Small Cap Fund - Growth - Regular Plan,276.5256,14-10-2024
JM Financial Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100218,JM Large Cap Fund (Regular) - IDCW ,31.626,14-10-2024
JM Financial Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100219,JM Large Cap Fund (Regular) - Growth Option,162.9169,14-10-2024
JM Financial Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100220,JM Aggressive Hybrid Fund (Regular) - IDCW,35.7328,14-10-2024
JM Financial Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100221,JM Aggressive Hybrid Fund (Regular) -Growth Option,127.7585,14-10-2024
JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100222,JM Medium to Long Duration Fund (Regular) - Quarterly IDCW,19.9545,14-10-2024
JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100223,JM Medium to Long Duration Fund (Regular) - Growth Option,58.6887,14-10-2024
JM Financial Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100233,JM Liquid Fund (Regular) - Weekly IDCW,11.0159,14-10-2024
JM Financial Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100234,JM Liquid Fund - Growth Option,67.8952,14-10-2024
JM Financial Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100244,JM Liquid Fund (Regular) - Quarterly IDCW,38.4293,14-10-2024
JM Financial Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100247,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,39.0297,14-10-2024
JM Financial Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,100254,JM Value Fund (Regular) - Growth Option,106.7068,14-10-2024
Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100264,Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option,18.1482,14-10-2024
Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100265,Kotak Gilt-Investment Regular-Growth,92.8757,14-10-2024
Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100280,Kotak Gilt-Investment  Provident Fund and Trust-Payout of Income Distribution cum capital withdrawal option,11.9773,14-10-2024
Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100281,Kotak Gilt-Investment  Provident Fund and Trust-Growth,95.018,14-10-2024
Kotak Mahindra Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100286,Kotak Equity Hybrid - Payout of Income Distribution cum capital withdrawal option,36.725,14-10-2024
Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100299,Kotak Bond Fund - Regular Plan Growth,73.189,14-10-2024
Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100300,Kotak Bond Fund - Regular Plan - Standard IDCW Option,44.8405,14-10-2024
LIC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100312,LIC MF Flexi Cap Fund-Regular Plan-IDCW,33.0958,14-10-2024
LIC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,104.8789,14-10-2024
LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100314,LIC MF Medium to Long Duration Fund-Regular Plan-IDCW,15.0161,14-10-2024
LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100315,LIC MF Medium to Long Duration Fund-Regular Plan-Growth,68.5056,14-10-2024
LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100316,LIC MF Gilt Fund-Regular Plan-IDCW,16.5267,14-10-2024
LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100317,LIC MF Gilt Fund-Regular Plan-Growth,57.3346,14-10-2024
LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100318,LIC MF Gilt Fund-PF Plan-IDCW,21.4284,14-10-2024
LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100319,LIC MF Gilt Fund-PF Plan-Growth,33.1144,14-10-2024
LIC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100321,LIC MF Aggressive Hybrid Fund-Regular Plan-IDCW,17.2086,14-10-2024
LIC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100323,LIC MF Aggressive Hybrid Fund-Regular Plan-Growth,196.9827,14-10-2024
LIC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100325,LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment,36.7874,14-10-2024
LIC Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100332,LIC MF Large Cap Fund-Regular Plan-IDCW,34.4217,14-10-2024
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100348,ICICI Prudential Large & Mid Cap Fund - IDCW,34.47,14-10-2024
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100349,ICICI Prudential Large & Mid Cap Fund - Growth,986.93,14-10-2024
ICICI Prudential Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100351,ICICI Prudential FMCG Fund - IDCW,96.51,11-10-2024
ICICI Prudential Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100352,ICICI Prudential FMCG Fund - Growth,522.19,11-10-2024
ICICI Prudential Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100353,ICICI Prudential ELSS Tax Saver Fund - IDCW,26.35,14-10-2024
ICICI Prudential Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100354,ICICI Prudential ELSS Tax Saver Fund - Growth,934.09,14-10-2024
ICICI Prudential Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100355,ICICI Prudential Equity & Debt Fund - Monthly IDCW,44.02,14-10-2024
ICICI Prudential Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100356,ICICI Prudential Equity & Debt Fund - Growth,381.61,14-10-2024
ICICI Prudential Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100363,ICICI Prudential Technology Fund - Growth,214.02,11-10-2024
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Long Duration Fund,100365,ICICI Prudential Long Term Bond Fund - Growth,85.0818,14-10-2024
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Long Duration Fund,100367,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,12.4047,14-10-2024
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100368,ICICI Prudential Gilt Fund - IDCW,18.0207,14-10-2024
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100369,ICICI Prudential Gilt Fund - Growth,96.9171,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100375,NIPPON INDIA GROWTH FUND - IDCW Option,133.2951,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100376,Nippon India Growth Fund-Growth Plan-Bonus Option,704.4316,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100377,Nippon India Growth Fund-Growth Plan-Growth Option,4231.5727,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100378,NIPPON INDIA VISION FUND - IDCW Option,72.2944,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100379,Nippon India Vision Fund-GROWTH PLAN-Bonus Option,248.4321,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100380,Nippon India Vision Fund-GROWTH PLAN-Growth Option,1475.0119,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100383,NIPPON INDIA INCOME FUND - MONTHLY IDCW Option,10.7891,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100384,NIPPON INDIA INCOME FUND - QUARTERLY IDCW Option,13.1069,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100385,NIPPON INDIA INCOME FUND - HALF YEARLY IDCW Option,12.3976,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100386,NIPPON INDIA INCOME FUND - ANNUAL IDCW Option,13.3536,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100387,Nippon India Income Fund - Growth Plan Growth Option,85.5921,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100388,Nippon India Income Fund - Growth Plan Bonus Option,24.6071,14-10-2024
Tata Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100414,Tata Hybrid Equity Fund- Regular Plan - Growth Option,445.0509,14-10-2024
Tata Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100415,Tata Ethical Fund-Regular Plan - Growth Option,426.8378,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100470,Franklin India BLUECHIP FUND - IDCW ,52.4308,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100471,Franklin India Bluechip Fund-Growth,1034.2391,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100472,Franklin India PRIMA FUND - IDCW ,103.8631,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100473,Franklin India Prima Fund-Growth,2809.3938,14-10-2024
Tata Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100474,Tata ELSS Tax Saver Fund- Regular Plan - Payout of IDCW Option,106.7423,14-10-2024
Tata Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100475,Tata Large Cap Fund -Regular Plan - Growth Option,511.4554,14-10-2024
Taurus Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100476,Taurus Flexi Cap Fund - Regular Plan - Growth ,238.85,14-10-2024
Taurus Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100477,Taurus Mid Cap Fund - Regular Plan - Growth,127.72,14-10-2024
Taurus Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100480,Taurus ELSS Tax Saver Fund - Regular Plan - Growth,188.77,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,100484,Franklin India Index Fund- NSE Nifty 50 Index Fund - Growth,201.3481,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100493,Franklin India Government Securities Fund - Growth,55.8069,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100494,Franklin India Government Securities Fund - IDCW ,10.6307,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,100496,Templeton India Value Fund - Growth Plan,746.4303,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,100497,Templeton India Value Fund - IDCW ,116.5087,14-10-2024
Franklin Templeton Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100519,Franklin India Flexi Cap Fund - IDCW ,73.1795,14-10-2024
Franklin Templeton Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100520,Franklin India Flexi Cap Fund - Growth,1664.3896,14-10-2024
Franklin Templeton Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100521,Franklin India Technology Fund - IDCW ,55.9518,11-10-2024
Franklin Templeton Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100522,Franklin India Technology Fund-Growth,545.8505,11-10-2024
Franklin Templeton Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100524,Franklin INDIA OPPORTUNITIES FUND - IDCW ,43.3031,14-10-2024
Franklin Templeton Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100525,Franklin India ELSS Tax Saver Fund - IDCW,73.5279,14-10-2024
Franklin Templeton Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100526,Franklin India ELSS Tax Saver Fund-Growth,1511.0187,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,100527,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,16.9008,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,100528,Franklin India Corporate Debt Fund - Growth,93.0341,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,100529,Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,15.0593,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,100530,Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,11.9092,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,100531,Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,12.4902,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Retirement Fund,100535,Franklin India Pension Plan - IDCW ,19.0506,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Retirement Fund,100536,Franklin India Pension Plan-Growth,212.746,14-10-2024
Franklin Templeton Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100537,Franklin India Liquid Fund - Regular Plan - Weekly - IDCW,1244.4828,14-10-2024
Franklin Templeton Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100538,Franklin India Liquid Fund - Regular Plan - Growth,5653.7268,14-10-2024
Franklin Templeton Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100541,Franklin India Liquid Fund - Regular Plan - Daily - IDCW,1509.3204,14-10-2024
Franklin Templeton Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100546,Franklin India Liquid Fund - Super Institutional Plan - Growth,3741.0934,14-10-2024
Franklin Templeton Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100547,Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW,1000,14-10-2024
Franklin Templeton Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100548,Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW,1026.0599,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100549,Franklin India Equity Hybrid Fund - IDCW ,31.2492,14-10-2024
Franklin Templeton Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100550,Franklin India Equity Hybrid Fund - Growth Plan,267.8731,14-10-2024
Canara Robeco Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100593,CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN -IDCW (Payout),53.49,14-10-2024
Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100596,CANARA ROBECO GILT FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),15.4197,14-10-2024
Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100597,CANARA ROBECO GILT FUND - REGULAR PLAN - GROWTH OPTION,72.5219,14-10-2024
Canara Robeco Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,100600,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),13.726,14-10-2024
Canara Robeco Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,100601,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - GROWTH OPTION,93.6021,14-10-2024
Sundaram Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100602,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan- Quarterly Income Distribution cum Capital Withdrawal (IDCW),13.0607,14-10-2024
Sundaram Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100603,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Growth,65.9014,14-10-2024
Sundaram Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100604,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Bonus,22.509,14-10-2024
Sundaram Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100608,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Institutional Plan - Growth,74.4692,14-10-2024
Sundaram Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100609,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan- Half Yearly Income Distribution cum Capital Withdrawal (IDCW),13.3488,14-10-2024
Sundaram Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100610,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Annual Income Distribution cum Capital Withdrawal (IDCW),13.0939,14-10-2024
Sundaram Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100614,Sundaram Diversified Equity (ELSS) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),17.4147,14-10-2024
quant Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,100630,quant Active Fund-IDCW Option - Regular Plan,79.2848,14-10-2024
quant Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,100631,quant Active Fund-GROWTH OPTION - Regular Plan,693.2555,14-10-2024
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100638,SBI Magnum Income Fund - Regular Plan - Half Yearly - Income Distribution cum Capital Withdrawal Option (IDCW),17.564,14-10-2024
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100639,SBI Magnum Income Fund-REGULAR PLAN-Growth,67.1533,14-10-2024
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100640,SBI Magnum Income Fund-REGULAR PLAN-Bonus,40.6889,14-10-2024
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,100641,SBI MAGNUM ULTRA SHORT DURATION FUND - REGULAR PLAN - GROWTH,5676.8066,14-10-2024
SBI Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100643,SBI Technology Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),131.2617,11-10-2024
SBI Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100644,SBI Healthcare Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),265.9238,11-10-2024
SBI Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100645,SBI Consumption Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),211.8398,14-10-2024
UTI Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,100646,UTI - Unit Linked Insurance Plan,40.6945,14-10-2024
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100650,UTI Large Cap Fund - Regular Plan - IDCW,57.7937,14-10-2024
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100651,UTI Large Cap Fund - Regular Plan - Growth Option,277.83,14-10-2024
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100663,UTI Large & Mid Cap Fund - Regular Plan - IDCW,89.1516,14-10-2024
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100664,UTI Large & Mid Cap Fund - Regular Plan - Growth Option,183.0048,14-10-2024
UTI Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100668,UTI Flexi Cap Fund - Regular Plan - IDCW,219.6277,14-10-2024
UTI Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100669,UTI - Flexi Cap Fund-Growth Option,332.1973,14-10-2024
UTI Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Children’s Fund,100678,UTI Children's Hybrid Fund - Regular Plan,39.6679,14-10-2024
UTI Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Retirement Fund,100682,UTI Retirement Fund - Regular Plan,48.6001,14-10-2024
