Fund House,Scheme Type,Scheme Category,Scheme Code,Scheme Name,NAV,Date
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,113307,Aditya Birla Sun Life Low Duration Fund -Regular - DAILY IDCW,100.5591,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,113345,Nippon India Arbitrage Fund - Growth Plan - Growth Option,25.3355,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,113346,NIPPON INDIA ARBITRAGE FUND - IDCW Option,15.1835,14-10-2024
Bandhan Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,113361,BANDHAN Conservative Hybrid Fund - Regular Plan - Quarterly IDCW,14.2089,14-10-2024
ICICI Prudential Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,113403,ICICI Prudential All Seasons Bond Fund - Quarterly IDCW,11.5845,14-10-2024
Axis Mutual Fund,Open Ended Schemes,Other Scheme - Gold ETF,113434,Axis Gold ETF,64.2149,14-10-2024
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,114239,ICICI Prudential Credit Risk Fund - Growth,29.9559,14-10-2024
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,114240,ICICI Prudential Credit Risk Fund - Quarterly IDCW,10.9929,14-10-2024
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Overnight Fund,114297,SBI Overnight Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1247.468,14-10-2024
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,114348,SBI Savings Fund - Regular Plan Daily Income Distribution cum Capital Withdrawal Option (IDCW),12.8324,14-10-2024
Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,114359,Invesco India Ultra Short Duration Fund - Growth,2562.7654,14-10-2024
Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,114360,Invesco India Ultra Short Duration Fund - Quarterly IDCW (Payout / Reinvestment),1069.2793,14-10-2024
Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,114361,Invesco India Ultra Short Duration Fund - Annual IDCW (Payout / Reinvestment),1129.5363,14-10-2024
Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,114362,Invesco India Ultra Short Duration Fund - Monthly IDCW (Payout / Reinvestment),1014.7016,14-10-2024
Motilal Oswal Mutual Fund,Open Ended Schemes,Other Scheme - Other  ETFs,114456,Motilal Oswal Nifty Midcap 100 ETF,63.6154,14-10-2024
Kotak Mahindra Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,114457,Kotak Bluechip Fund - Payout of Income Distribution cumcapital withdrawal option,74.297,14-10-2024
Kotak Mahindra Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,114458,Kotak Bluechip Fund - Growth,575.572,14-10-2024
Bandhan Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,114476,BANDHAN Infrastructure Fund - Regular Plan - Growth,54.755,14-10-2024
Bandhan Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,114477,BANDHAN Infrastructure Fund - Regular Plan - IDCW,46.739,14-10-2024
Axis Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,114564,Axis Midcap Fund - Regular Plan - Growth,115.74,14-10-2024
Axis Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,114565,Axis Midcap Fund - Regular Plan - IDCW,47.03,14-10-2024
