Date,NAV
13-10-2024,1278.09620
11-10-2024,1277.65870
10-10-2024,1277.44100
09-10-2024,1277.22270
08-10-2024,1277.00530
07-10-2024,1276.78880
06-10-2024,1276.57160
04-10-2024,1276.13350
03-10-2024,1275.91710
02-10-2024,1275.70130
01-10-2024,1275.47350
30-09-2024,1275.23860
29-09-2024,1275.00930
27-09-2024,1274.56280
26-09-2024,1274.34020
25-09-2024,1274.11690
24-09-2024,1273.89010
23-09-2024,1273.66000
22-09-2024,1273.43020
21-09-2024,1273.20000
20-09-2024,1272.96980
19-09-2024,1272.74160
18-09-2024,1272.51580
17-09-2024,1272.28750
16-09-2024,1272.06000
15-09-2024,1271.83590
13-09-2024,1271.38890
12-09-2024,1271.16620
11-09-2024,1270.95080
10-09-2024,1270.73050
09-09-2024,1270.51120
08-09-2024,1270.29240
06-09-2024,1269.85210
05-09-2024,1269.63310
04-09-2024,1269.41510
03-09-2024,1269.19960
02-09-2024,1268.98390
01-09-2024,1268.76750
30-08-2024,1268.30990
29-08-2024,1268.08180
28-08-2024,1267.85460
27-08-2024,1267.63280
26-08-2024,1267.41350
25-08-2024,1267.19680
23-08-2024,1266.76190
22-08-2024,1266.54520
21-08-2024,1266.32550
20-08-2024,1266.10590
19-08-2024,1265.88660
18-08-2024,1265.66920
16-08-2024,1265.22800
15-08-2024,1265.00750
14-08-2024,1264.78720
13-08-2024,1264.56800
12-08-2024,1264.34920
11-08-2024,1264.13240
09-08-2024,1263.69520
08-08-2024,1263.47740
07-08-2024,1263.25060
06-08-2024,1263.03250
05-08-2024,1262.82030
04-08-2024,1262.60380
02-08-2024,1262.17510
01-08-2024,1261.96110
31-07-2024,1261.74190
30-07-2024,1261.52360
29-07-2024,1261.30680
28-07-2024,1261.08990
26-07-2024,1260.65270
25-07-2024,1260.43470
24-07-2024,1260.21510
23-07-2024,1259.98840
22-07-2024,1259.76090
21-07-2024,1259.53690
19-07-2024,1259.09630
18-07-2024,1258.87680
17-07-2024,1258.66000
16-07-2024,1258.44250
15-07-2024,1258.22570
14-07-2024,1258.01000
12-07-2024,1257.57990
11-07-2024,1257.36540
10-07-2024,1257.14780
09-07-2024,1256.92820
08-07-2024,1256.70920
07-07-2024,1256.48860
05-07-2024,1256.05090
04-07-2024,1255.83320
03-07-2024,1255.61690
02-07-2024,1255.40070
01-07-2024,1255.18410
30-06-2024,1254.96170
29-06-2024,1254.73110
28-06-2024,1254.50060
27-06-2024,1254.26900
26-06-2024,1254.04060
25-06-2024,1253.81870
24-06-2024,1253.59720
23-06-2024,1253.37380
21-06-2024,1252.91890
20-06-2024,1252.69250
19-06-2024,1252.46920
18-06-2024,1252.24620
17-06-2024,1252.02280
16-06-2024,1251.79470
14-06-2024,1251.33850
13-06-2024,1251.11050
12-06-2024,1250.89090
11-06-2024,1250.67300
10-06-2024,1250.45380
09-06-2024,1250.23520
07-06-2024,1249.79950
06-06-2024,1249.58150
05-06-2024,1249.36320
04-06-2024,1249.14530
03-06-2024,1248.93100
02-06-2024,1248.71710
01-06-2024,1248.49070
31-05-2024,1248.26430
30-05-2024,1248.03840
29-05-2024,1247.82300
28-05-2024,1247.60750
27-05-2024,1247.38990
26-05-2024,1247.16760
24-05-2024,1246.71610
23-05-2024,1246.49080
22-05-2024,1246.26400
21-05-2024,1246.03710
19-05-2024,1245.58030
