Date,NAV
13-10-2024,1261.14560
11-10-2024,1260.69250
10-10-2024,1260.44700
09-10-2024,1260.21070
08-10-2024,1259.94880
07-10-2024,1259.70020
06-10-2024,1259.47270
04-10-2024,1259.01690
03-10-2024,1258.74440
02-10-2024,1258.43600
01-10-2024,1258.20230
30-09-2024,1257.90720
29-09-2024,1257.53790
27-09-2024,1257.07180
26-09-2024,1256.83350
25-09-2024,1256.57650
24-09-2024,1256.36540
23-09-2024,1256.10750
22-09-2024,1255.84690
21-09-2024,1255.61390
20-09-2024,1255.38130
19-09-2024,1255.12940
18-09-2024,1254.85760
17-09-2024,1254.62600
16-09-2024,1254.39490
15-09-2024,1254.15270
13-09-2024,1253.69010
12-09-2024,1253.45660
11-09-2024,1253.23620
10-09-2024,1253.01060
09-09-2024,1252.78870
08-09-2024,1252.56560
06-09-2024,1252.10660
05-09-2024,1251.88040
04-09-2024,1251.65590
03-09-2024,1251.42300
02-09-2024,1251.18900
01-09-2024,1250.94460
30-08-2024,1250.48390
29-08-2024,1250.25600
28-08-2024,1250.03310
27-08-2024,1249.80890
26-08-2024,1249.58370
25-08-2024,1249.36110
23-08-2024,1248.90490
22-08-2024,1248.67450
21-08-2024,1248.43950
20-08-2024,1248.21290
19-08-2024,1247.97080
18-08-2024,1247.75170
16-08-2024,1247.29950
15-08-2024,1247.05460
14-08-2024,1246.82400
13-08-2024,1246.58340
12-08-2024,1246.35830
11-08-2024,1246.13640
09-08-2024,1245.68170
08-08-2024,1245.44630
07-08-2024,1245.21870
06-08-2024,1244.97670
05-08-2024,1244.76530
04-08-2024,1244.53260
02-08-2024,1244.07620
01-08-2024,1243.84950
31-07-2024,1243.62010
30-07-2024,1243.38940
29-07-2024,1243.14250
28-07-2024,1242.92260
26-07-2024,1242.46970
25-07-2024,1242.23660
24-07-2024,1241.99250
23-07-2024,1241.75710
22-07-2024,1241.54720
21-07-2024,1241.31910
19-07-2024,1240.86640
18-07-2024,1240.63080
17-07-2024,1240.38770
16-07-2024,1240.15760
15-07-2024,1239.94550
14-07-2024,1239.68630
12-07-2024,1239.23440
11-07-2024,1238.99540
10-07-2024,1238.73640
09-07-2024,1238.50390
08-07-2024,1238.26790
07-07-2024,1238.07090
05-07-2024,1237.61730
04-07-2024,1237.42920
03-07-2024,1237.21610
02-07-2024,1236.95810
01-07-2024,1236.57900
30-06-2024,1236.18660
29-06-2024,1235.95390
28-06-2024,1235.72170
27-06-2024,1235.40770
26-06-2024,1235.17880
25-06-2024,1234.98800
24-06-2024,1234.82730
23-06-2024,1234.61330
21-06-2024,1234.15580
20-06-2024,1233.92290
19-06-2024,1233.68440
18-06-2024,1233.45100
17-06-2024,1233.22860
16-06-2024,1233.00050
14-06-2024,1232.54450
13-06-2024,1232.30640
12-06-2024,1232.09380
11-06-2024,1231.86080
10-06-2024,1231.62140
09-06-2024,1231.38500
07-06-2024,1230.93070
06-06-2024,1230.69780
05-06-2024,1230.44610
04-06-2024,1230.21210
03-06-2024,1229.99740
02-06-2024,1229.74630
01-06-2024,1229.51850
31-05-2024,1229.29080
30-05-2024,1229.05970
29-05-2024,1228.83600
28-05-2024,1228.60760
27-05-2024,1228.37760
26-05-2024,1228.14840
24-05-2024,1227.69500
23-05-2024,1227.45640
22-05-2024,1227.22820
21-05-2024,1226.98360
19-05-2024,1226.40330
18-05-2024,1226.17360
17-05-2024,1225.94400
16-05-2024,1225.70630
15-05-2024,1225.45560
14-05-2024,1225.18430
13-05-2024,1224.92550
12-05-2024,1224.69970
10-05-2024,1224.23580
09-05-2024,1224.05610
08-05-2024,1223.85510
07-05-2024,1223.68730
06-05-2024,1223.49680
05-05-2024,1223.27720
03-05-2024,1222.82140
02-05-2024,1222.57200
01-05-2024,1222.28310
30-04-2024,1222.05360
29-04-2024,1221.86670
28-04-2024,1221.66220
26-04-2024,1221.20910
25-04-2024,1221.04220
24-04-2024,1220.91030
23-04-2024,1220.72160
22-04-2024,1220.50030
21-04-2024,1220.28030
19-04-2024,1219.83780
18-04-2024,1219.65070
17-04-2024,1219.42980
16-04-2024,1219.21170
15-04-2024,1218.95970
14-04-2024,1218.69890
13-04-2024,1218.47910
12-04-2024,1218.25930
11-04-2024,1218.04410
10-04-2024,1217.81690
09-04-2024,1217.43870
08-04-2024,1217.21510
07-04-2024,1216.86130
06-04-2024,1216.63490
05-04-2024,1216.40870
04-04-2024,1216.13310
03-04-2024,1215.86260
02-04-2024,1215.62530
01-04-2024,1214.95570
31-03-2024,1214.71480
30-03-2024,1214.47400
28-03-2024,1213.99300
27-03-2024,1213.05300
26-03-2024,1212.84620
25-03-2024,1212.74280
22-03-2024,1212.01460
21-03-2024,1211.87520
