Date,NAV
13-10-2024,1037.75540
11-10-2024,1037.40010
10-10-2024,1037.22260
09-10-2024,1037.04710
08-10-2024,1036.87190
07-10-2024,1036.69760
06-10-2024,1036.52100
04-10-2024,1036.16850
03-10-2024,1035.99300
02-10-2024,1035.81910
01-10-2024,1035.63800
30-09-2024,1035.45850
29-09-2024,1035.27270
27-09-2024,1034.90820
26-09-2024,1034.72750
25-09-2024,1034.54360
24-09-2024,1034.36040
23-09-2024,1034.17710
22-09-2024,1033.98820
20-09-2024,1033.61550
19-09-2024,1033.43130
18-09-2024,1033.24720
17-09-2024,1033.05960
16-09-2024,1032.88590
15-09-2024,1038.27090
13-09-2024,1037.90290
12-09-2024,1037.72030
11-09-2024,1037.54200
10-09-2024,1037.36230
09-09-2024,1037.17910
08-09-2024,1037.00200
06-09-2024,1036.63660
05-09-2024,1036.46110
04-09-2024,1036.28410
03-09-2024,1036.10910
02-09-2024,1035.93380
01-09-2024,1035.75750
30-08-2024,1035.38200
29-08-2024,1035.19580
28-08-2024,1035.01030
27-08-2024,1034.83120
26-08-2024,1034.65360
25-08-2024,1034.47720
23-08-2024,1034.11850
22-08-2024,1033.94060
21-08-2024,1033.75800
20-08-2024,1033.57760
19-08-2024,1033.39700
18-08-2024,1033.22190
16-08-2024,1032.88590
15-08-2024,1038.45680
14-08-2024,1038.27520
13-08-2024,1038.09570
12-08-2024,1037.91930
11-08-2024,1037.74190
09-08-2024,1037.37570
08-08-2024,1037.19410
07-08-2024,1037.00770
06-08-2024,1036.83090
05-08-2024,1036.65700
04-08-2024,1036.48550
02-08-2024,1036.13200
01-08-2024,1035.95520
31-07-2024,1035.77760
30-07-2024,1035.59650
29-07-2024,1035.41960
28-07-2024,1035.24170
26-07-2024,1034.88180
25-07-2024,1034.70210
24-07-2024,1034.52050
23-07-2024,1034.34080
22-07-2024,1034.15210
21-07-2024,1033.96630
19-07-2024,1033.60130
18-07-2024,1033.43490
17-07-2024,1033.25660
16-07-2024,1033.07650
15-07-2024,1032.88590
14-07-2024,1037.61350
12-07-2024,1037.25620
11-07-2024,1037.08230
10-07-2024,1036.90490
09-07-2024,1036.72570
08-07-2024,1036.54240
07-07-2024,1036.35310
05-07-2024,1035.99190
04-07-2024,1035.81450
03-07-2024,1035.63510
02-07-2024,1035.45560
01-07-2024,1035.27670
30-06-2024,1035.09740
28-06-2024,1034.71740
27-06-2024,1034.52520
26-06-2024,1034.33730
25-06-2024,1034.15500
24-06-2024,1033.97260
23-06-2024,1033.78650
21-06-2024,1033.41140
20-06-2024,1033.22740
19-06-2024,1033.03740
18-06-2024,1032.88590
17-06-2024,1038.90040
14-06-2024,1038.33370
13-06-2024,1038.14590
12-06-2024,1037.96400
11-06-2024,1037.78470
10-06-2024,1037.60460
09-06-2024,1037.42520
07-06-2024,1037.06590
06-06-2024,1036.88680
05-06-2024,1036.71160
04-06-2024,1036.53090
03-06-2024,1036.35120
02-06-2024,1036.17090
31-05-2024,1035.79730
30-05-2024,1035.61230
29-05-2024,1035.43540
28-05-2024,1035.25690
27-05-2024,1035.07690
26-05-2024,1034.89150
24-05-2024,1034.51790
23-05-2024,1034.33220
22-05-2024,1034.14440
21-05-2024,1033.95770
20-05-2024,1033.76430
17-05-2024,1033.20160
16-05-2024,1033.01650
15-05-2024,1032.88590
14-05-2024,1038.14740
13-05-2024,1037.96120
12-05-2024,1037.77440
10-05-2024,1037.39650
09-05-2024,1037.21060
08-05-2024,1037.02430
07-05-2024,1036.84140
06-05-2024,1036.66090
05-05-2024,1036.48160
03-05-2024,1036.12120
02-05-2024,1035.94420
01-05-2024,1035.76420
30-04-2024,1035.57240
29-04-2024,1035.39010
28-04-2024,1035.20470
26-04-2024,1034.82790
25-04-2024,1034.64230
24-04-2024,1034.45560
23-04-2024,1034.27030
22-04-2024,1034.08670
21-04-2024,1033.90620
19-04-2024,1033.54600
18-04-2024,1033.37140
17-04-2024,1033.19370
15-04-2024,1032.88590
14-04-2024,1038.43330
12-04-2024,1038.06770
11-04-2024,1037.88770
09-04-2024,1037.51580
08-04-2024,1037.33350
07-04-2024,1037.14610
05-04-2024,1036.78150
04-04-2024,1036.59940
03-04-2024,1036.42070
02-04-2024,1036.24110
01-04-2024,1036.06520
31-03-2024,1035.87060
30-03-2024,1035.67600
28-03-2024,1035.28690
27-03-2024,1035.09080
26-03-2024,1034.90520
25-03-2024,1034.72060
22-03-2024,1034.15240
21-03-2024,1033.97860
20-03-2024,1033.79890
19-03-2024,1033.62380
18-03-2024,1033.44680
17-03-2024,1033.27040
15-03-2024,1032.88590
14-03-2024,1038.01010
13-03-2024,1037.83350
12-03-2024,1037.65500
11-03-2024,1037.47510
10-03-2024,1037.28930
07-03-2024,1036.73040
06-03-2024,1036.54520
05-03-2024,1036.36140
04-03-2024,1036.18580
03-03-2024,1036.00890
01-03-2024,1035.63660
29-02-2024,1035.45330
28-02-2024,1035.26830
27-02-2024,1035.09140
26-02-2024,1034.91480
25-02-2024,1034.72910
23-02-2024,1034.34920
22-02-2024,1034.16210
21-02-2024,1033.98220
20-02-2024,1033.80220
19-02-2024,1033.62350
18-02-2024,1033.43730
16-02-2024,1033.06490
15-02-2024,1032.88590
14-02-2024,1038.49860
13-02-2024,1038.31230
12-02-2024,1038.12460
11-02-2024,1037.93690
09-02-2024,1037.55660
08-02-2024,1037.36940
07-02-2024,1037.18550
06-02-2024,1037.00530
05-02-2024,1036.83390
04-02-2024,1036.65680
02-02-2024,1036.29610
01-02-2024,1036.11740
31-01-2024,1035.93450
30-01-2024,1035.74690
29-01-2024,1035.55900
28-01-2024,1035.37170
25-01-2024,1034.79160
24-01-2024,1034.61240
23-01-2024,1034.42590
22-01-2024,1034.23920
21-01-2024,1034.05050
19-01-2024,1033.67330
18-01-2024,1033.48620
17-01-2024,1033.29790
16-01-2024,1033.07420
15-01-2024,1032.88590
14-01-2024,1035.32030
12-01-2024,1034.94710
11-01-2024,1034.76230
10-01-2024,1034.57370
09-01-2024,1034.38540
08-01-2024,1034.19750
07-01-2024,1034.00960
05-01-2024,1033.63340
04-01-2024,1033.44760
03-01-2024,1033.26080
02-01-2024,1033.07380
01-01-2024,1032.88590
31-12-2023,1032.69830
30-12-2023,1032.51060
29-12-2023,1032.32280
28-12-2023,1032.13390
27-12-2023,1031.94460
26-12-2023,1031.75670
25-12-2023,1031.56860
22-12-2023,1031.00180
21-12-2023,1030.81480
20-12-2023,1030.62610
19-12-2023,1030.43960
18-12-2023,1030.25180
17-12-2023,1030.06440
15-12-2023,1029.69130
14-12-2023,1029.50650
13-12-2023,1029.31950
12-12-2023,1029.13240
11-12-2023,1028.94570
10-12-2023,1028.75920
08-12-2023,1028.38450
07-12-2023,1028.19910
06-12-2023,1028.01410
05-12-2023,1027.82890
04-12-2023,1027.64240
03-12-2023,1027.45580
01-12-2023,1027.07860
30-11-2023,1026.89250
29-11-2023,1026.70550
28-11-2023,1026.51690
27-11-2023,1026.33050
24-11-2023,1025.75700
23-11-2023,1025.57950
22-11-2023,1025.39300
21-11-2023,1025.20640
20-11-2023,1025.01970
19-11-2023,1024.83320
16-11-2023,1024.27340
15-11-2023,1024.08750
14-11-2023,1023.90140
12-11-2023,1023.52790
09-11-2023,1022.96360
08-11-2023,1022.77710
07-11-2023,1022.59130
06-11-2023,1022.40550
05-11-2023,1022.21980
03-11-2023,1021.84680
02-11-2023,1021.66360
01-11-2023,1021.47920
31-10-2023,1021.29370
30-10-2023,1021.10810
29-10-2023,1020.92300
27-10-2023,1020.57160
26-10-2023,1020.36500
25-10-2023,1020.18020
24-10-2023,1019.99450
22-10-2023,1019.62310
20-10-2023,1019.24360
19-10-2023,1019.06620
18-10-2023,1018.88210
17-10-2023,1018.69800
16-10-2023,1018.51390
15-10-2023,1018.33030
13-10-2023,1017.95940
12-10-2023,1017.77530
11-10-2023,1017.59080
10-10-2023,1017.40620
09-10-2023,1017.22270
08-10-2023,1017.01970
06-10-2023,1016.65050
05-10-2023,1016.46690
04-10-2023,1016.28460
03-10-2023,1016.10010
02-10-2023,1015.91670
29-09-2023,1015.35810
28-09-2023,1015.16740
27-09-2023,1014.98160
26-09-2023,1014.79870
25-09-2023,1014.61390
24-09-2023,1014.42960
22-09-2023,1014.06090
21-09-2023,1013.87670
20-09-2023,1013.69190
19-09-2023,1013.50990
17-09-2023,1013.14280
15-09-2023,1012.77090
14-09-2023,1012.58780
13-09-2023,1012.40460
12-09-2023,1012.22060
11-09-2023,1012.03930
10-09-2023,1011.85870
08-09-2023,1011.49540
07-09-2023,1011.31140
06-09-2023,1011.13810
05-09-2023,1010.96830
04-09-2023,1010.79990
03-09-2023,1010.63200
01-09-2023,1010.27570
31-08-2023,1010.09790
30-08-2023,1009.91810
29-08-2023,1009.73620
28-08-2023,1009.55320
27-08-2023,1009.37110
25-08-2023,1009.00440
24-08-2023,1008.82170
23-08-2023,1008.63890
22-08-2023,1008.45600
21-08-2023,1008.27350
20-08-2023,1008.09260
18-08-2023,1007.72260
17-08-2023,1007.56480
16-08-2023,1007.38650
15-08-2023,1007.20790
13-08-2023,1006.85320
11-08-2023,1006.50540
10-08-2023,1006.33240
09-08-2023,1006.15900
08-08-2023,1005.98890
07-08-2023,1005.81760
06-08-2023,1005.65060
04-08-2023,1005.31020
03-08-2023,1005.14270
02-08-2023,1004.97410
01-08-2023,1004.80510
31-07-2023,1004.63530
30-07-2023,1004.46030
28-07-2023,1004.10710
27-07-2023,1003.93480
26-07-2023,1003.76620
25-07-2023,1003.59080
24-07-2023,1003.41520
23-07-2023,1003.23960
21-07-2023,1002.88150
20-07-2023,1002.70520
19-07-2023,1002.53680
18-07-2023,1002.36760
17-07-2023,1002.20070
16-07-2023,1002.03170
14-07-2023,1001.69560
13-07-2023,1001.52820
12-07-2023,1001.36240
11-07-2023,1001.19750
10-07-2023,1001.02740
09-07-2023,1000.85450
07-07-2023,1000.51730
06-07-2023,1000.35010
05-07-2023,1000.18350
