Date,NAV
13-10-2024,1004.17060
10-10-2024,1003.59620
09-10-2024,1003.40490
08-10-2024,1003.18730
07-10-2024,1002.97920
06-10-2024,1002.78650
03-10-2024,1002.20640
02-10-2024,1001.96820
30-09-2024,1001.55680
29-09-2024,1001.24410
26-09-2024,1000.67540
25-09-2024,1006.15990
24-09-2024,1005.97670
23-09-2024,1005.78120
22-09-2024,1005.57870
19-09-2024,1004.98680
18-09-2024,1004.77820
17-09-2024,1004.58820
16-09-2024,1004.39710
15-09-2024,1004.20700
12-09-2024,1003.63050
11-09-2024,1003.44680
10-09-2024,1003.25760
09-09-2024,1003.08780
08-09-2024,1002.89550
05-09-2024,1002.34620
04-09-2024,1002.16770
03-09-2024,1001.98120
02-09-2024,1001.79110
01-09-2024,1001.58760
29-08-2024,1001.02900
28-08-2024,1000.84940
27-08-2024,1000.67540
26-08-2024,1006.49980
25-08-2024,1006.31430
22-08-2024,1005.74390
21-08-2024,1005.54750
20-08-2024,1005.36450
19-08-2024,1005.16010
18-08-2024,1004.97830
15-08-2024,1004.40970
13-08-2024,1004.03400
12-08-2024,1003.85140
11-08-2024,1003.67170
08-08-2024,1003.09860
07-08-2024,1002.91160
06-08-2024,1002.71500
05-08-2024,1002.54240
04-08-2024,1002.34700
03-08-2024,1002.16040
01-08-2024,1001.79630
31-07-2024,1001.60770
30-07-2024,1001.42300
29-07-2024,1001.22880
28-07-2024,1001.05010
27-07-2024,1000.86240
25-07-2024,1006.43940
24-07-2024,1006.24070
23-07-2024,1006.04910
22-07-2024,1005.87400
21-07-2024,1005.67610
18-07-2024,1005.11130
17-07-2024,1004.90680
15-07-2024,1004.54850
14-07-2024,1004.33790
12-07-2024,1003.96180
11-07-2024,1003.76500
10-07-2024,1003.54710
09-07-2024,1003.36480
08-07-2024,1003.17150
07-07-2024,1003.00990
05-07-2024,1002.63590
04-07-2024,1002.48390
03-07-2024,1002.30360
02-07-2024,1002.10070
01-07-2024,1001.80670
30-06-2024,1001.49430
27-06-2024,1000.85820
26-06-2024,1000.67540
25-06-2024,1005.93840
24-06-2024,1005.80400
23-06-2024,1005.62090
20-06-2024,1005.04700
19-06-2024,1004.85630
18-06-2024,1004.66130
17-06-2024,1004.47160
16-06-2024,1004.28260
13-06-2024,1003.72370
12-06-2024,1003.54350
11-06-2024,1003.34930
10-06-2024,1003.15630
09-06-2024,1002.96360
06-06-2024,1002.40110
05-06-2024,1002.19910
04-06-2024,1002.00110
03-06-2024,1001.82070
02-06-2024,1001.61670
30-05-2024,1001.05210
29-05-2024,1000.86810
28-05-2024,1000.67540
27-05-2024,1006.61530
26-05-2024,1006.43200
23-05-2024,1005.85900
22-05-2024,1005.66680
21-05-2024,1005.47180
20-05-2024,1005.19820
16-05-2024,1004.41690
15-05-2024,1004.21730
14-05-2024,1003.99800
13-05-2024,1003.78100
12-05-2024,1003.59690
09-05-2024,1003.03780
08-05-2024,1002.87650
07-05-2024,1002.74050
06-05-2024,1002.57830
05-05-2024,1002.39140
02-05-2024,1001.80350
01-05-2024,1001.56770
29-04-2024,1001.22910
28-04-2024,1001.05380
25-04-2024,1007.15550
24-04-2024,1007.03960
23-04-2024,1006.87490
22-04-2024,1006.69150
21-04-2024,1006.50710
18-04-2024,1005.99150
17-04-2024,1005.80170
15-04-2024,1005.40920
14-04-2024,1005.18390
11-04-2024,1004.62620
09-04-2024,1004.11470
08-04-2024,1003.92790
07-04-2024,1003.62670
04-04-2024,1003.01190
03-04-2024,1002.77980
02-04-2024,1002.58630
01-04-2024,1002.08550
31-03-2024,1001.88530
30-03-2024,1001.68510
29-03-2024,1001.48530
27-03-2024,1000.67540
26-03-2024,1006.05580
25-03-2024,1005.93960
21-03-2024,1005.19700
20-03-2024,1005.03280
19-03-2024,1004.85350
18-03-2024,1004.65140
17-03-2024,1004.45090
14-03-2024,1003.88410
13-03-2024,1003.71280
12-03-2024,1003.49700
11-03-2024,1003.28280
10-03-2024,1003.07580
09-03-2024,1002.87800
06-03-2024,1002.28270
05-03-2024,1002.09510
04-03-2024,1001.88730
03-03-2024,1001.67990
29-02-2024,1001.08590
28-02-2024,1000.88330
27-02-2024,1000.67540
26-02-2024,1006.93910
25-02-2024,1006.74180
22-02-2024,1006.15430
21-02-2024,1005.89030
20-02-2024,1005.65940
19-02-2024,1005.44290
18-02-2024,1005.24640
15-02-2024,1004.63480
