Date,NAV
13-10-2024,2500.26870
11-10-2024,2499.34350
10-10-2024,2498.85390
09-10-2024,2498.36790
08-10-2024,2497.82700
07-10-2024,2497.32320
06-10-2024,2496.85380
04-10-2024,2495.92820
03-10-2024,2495.38530
02-10-2024,2494.74570
01-10-2024,2494.27570
30-09-2024,2493.67880
29-09-2024,2492.86570
27-09-2024,2491.90820
26-09-2024,2491.43650
25-09-2024,2490.90490
24-09-2024,2490.45920
23-09-2024,2489.95610
22-09-2024,2489.42690
20-09-2024,2488.47420
19-09-2024,2487.92820
18-09-2024,2487.36410
17-09-2024,2486.88450
16-09-2024,2486.36360
15-09-2024,2485.90510
13-09-2024,2484.94770
12-09-2024,2484.46180
11-09-2024,2483.99810
10-09-2024,2483.54150
09-09-2024,2483.12260
08-09-2024,2482.65330
06-09-2024,2481.71250
05-09-2024,2481.29560
04-09-2024,2480.84540
03-09-2024,2480.37370
02-09-2024,2479.92490
01-09-2024,2479.42440
30-08-2024,2478.47780
29-08-2024,2478.01160
28-08-2024,2477.56640
27-08-2024,2477.10750
26-08-2024,2476.64190
25-08-2024,2476.17740
23-08-2024,2475.24480
22-08-2024,2474.77200
21-08-2024,2474.29570
20-08-2024,2473.84310
19-08-2024,2473.33800
18-08-2024,2472.90130
16-08-2024,2471.96360
15-08-2024,2471.47910
14-08-2024,2471.00670
13-08-2024,2470.50990
12-08-2024,2470.04500
11-08-2024,2469.59400
09-08-2024,2468.66680
08-08-2024,2468.18980
07-08-2024,2467.71830
06-08-2024,2467.24260
05-08-2024,2466.81960
04-08-2024,2466.33090
02-08-2024,2465.39600
01-08-2024,2464.94940
31-07-2024,2464.46970
30-07-2024,2464.01320
29-07-2024,2463.53050
28-07-2024,2463.08250
26-07-2024,2462.16060
25-07-2024,2461.70850
24-07-2024,2461.23190
23-07-2024,2460.76790
22-07-2024,2460.33760
21-07-2024,2459.85520
19-07-2024,2458.93600
18-07-2024,2458.45880
17-07-2024,2457.94730
16-07-2024,2457.48680
15-07-2024,2457.05610
14-07-2024,2456.54870
12-07-2024,2455.63010
11-07-2024,2455.13120
10-07-2024,2454.61010
09-07-2024,2454.14490
08-07-2024,2453.66740
07-07-2024,2453.26110
05-07-2024,2452.34110
04-07-2024,2451.97480
03-07-2024,2451.52780
02-07-2024,2451.01960
01-07-2024,2450.29370
30-06-2024,2449.47220
28-06-2024,2448.51730
27-06-2024,2447.87470
26-06-2024,2447.42190
25-06-2024,2447.02760
24-06-2024,2446.72950
23-06-2024,2446.28100
21-06-2024,2445.34730
20-06-2024,2444.87030
19-06-2024,2444.40070
18-06-2024,2443.91500
