Date,NAV
13-10-2024,1340.87690
11-10-2024,1340.38720
10-10-2024,1340.12220
09-10-2024,1339.86690
08-10-2024,1339.58430
07-10-2024,1339.31620
06-10-2024,1339.07030
04-10-2024,1338.57760
03-10-2024,1338.28380
02-10-2024,1337.95200
01-10-2024,1337.69940
30-09-2024,1337.38160
29-09-2024,1336.98490
27-09-2024,1336.48120
26-09-2024,1336.22390
25-09-2024,1335.94660
24-09-2024,1335.71810
23-09-2024,1335.43990
22-09-2024,1335.15870
21-09-2024,1334.90700
20-09-2024,1334.65570
19-09-2024,1334.38390
18-09-2024,1334.09090
17-09-2024,1333.84070
16-09-2024,1333.59080
15-09-2024,1333.32940
13-09-2024,1332.82980
12-09-2024,1332.57760
11-09-2024,1332.33930
10-09-2024,1332.09550
09-09-2024,1331.85570
08-09-2024,1331.61440
06-09-2024,1331.11860
05-09-2024,1330.87420
04-09-2024,1330.63150
03-09-2024,1330.37990
02-09-2024,1330.12720
01-09-2024,1329.86340
30-08-2024,1329.36560
29-08-2024,1329.11920
28-08-2024,1328.87830
27-08-2024,1328.63610
26-08-2024,1328.39270
25-08-2024,1328.15190
23-08-2024,1327.65910
22-08-2024,1327.41020
21-08-2024,1327.15620
20-08-2024,1326.91150
19-08-2024,1326.65020
18-08-2024,1326.41320
16-08-2024,1325.92460
15-08-2024,1325.66040
14-08-2024,1325.41120
13-08-2024,1325.15150
12-08-2024,1324.90830
11-08-2024,1324.66840
09-08-2024,1324.17710
08-08-2024,1323.92290
07-08-2024,1323.67690
06-08-2024,1323.41580
05-08-2024,1323.18700
04-08-2024,1322.93580
02-08-2024,1322.44280
01-08-2024,1322.19780
31-07-2024,1321.95000
30-07-2024,1321.70080
29-07-2024,1321.43440
28-07-2024,1321.19680
26-07-2024,1320.70740
25-07-2024,1320.45570
24-07-2024,1320.19230
23-07-2024,1319.93820
22-07-2024,1319.71120
21-07-2024,1319.46470
19-07-2024,1318.97560
18-07-2024,1318.72070
17-07-2024,1318.45830
16-07-2024,1318.20960
15-07-2024,1317.98020
14-07-2024,1317.70070
12-07-2024,1317.21230
11-07-2024,1316.95420
10-07-2024,1316.67490
09-07-2024,1316.42390
08-07-2024,1316.16900
07-07-2024,1315.95560
05-07-2024,1315.46540
04-07-2024,1315.26140
03-07-2024,1315.03100
02-07-2024,1314.75290
01-07-2024,1314.34590
30-06-2024,1313.92490
29-06-2024,1313.67360
28-06-2024,1313.42270
27-06-2024,1313.08500
26-06-2024,1312.83780
25-06-2024,1312.63100
24-06-2024,1312.45620
23-06-2024,1312.22480
21-06-2024,1311.73080
20-06-2024,1311.47930
19-06-2024,1311.22190
18-06-2024,1310.96990
17-06-2024,1310.72950
16-06-2024,1310.48320
14-06-2024,1309.99070
13-06-2024,1309.73370
12-06-2024,1309.50390
11-06-2024,1309.25230
10-06-2024,1308.99400
09-06-2024,1308.73880
07-06-2024,1308.24810
06-06-2024,1307.99660
05-06-2024,1307.72520
04-06-2024,1307.47260
03-06-2024,1307.24050
02-06-2024,1306.96970
01-06-2024,1306.72370
31-05-2024,1306.47770
30-05-2024,1306.22820
29-05-2024,1305.98660
28-05-2024,1305.73990
27-05-2024,1305.49160
26-05-2024,1305.24410
