Date,NAV
13-10-2024,1309.73290
11-10-2024,1309.29320
10-10-2024,1309.07370
09-10-2024,1308.85530
08-10-2024,1308.63630
07-10-2024,1308.41870
06-10-2024,1308.20070
04-10-2024,1307.76360
03-10-2024,1307.54600
02-10-2024,1307.31280
01-10-2024,1307.09200
30-09-2024,1306.87340
29-09-2024,1306.64080
27-09-2024,1306.18620
26-09-2024,1305.96160
25-09-2024,1305.73690
24-09-2024,1305.50820
23-09-2024,1305.27560
22-09-2024,1305.04200
20-09-2024,1304.57890
19-09-2024,1304.34840
18-09-2024,1304.11850
17-09-2024,1303.88580
16-09-2024,1303.65350
15-09-2024,1303.42640
13-09-2024,1302.97440
12-09-2024,1302.74920
11-09-2024,1302.52580
10-09-2024,1302.30090
09-09-2024,1302.08070
08-09-2024,1301.85960
06-09-2024,1301.41410
05-09-2024,1301.19370
04-09-2024,1300.97590
03-09-2024,1300.75920
02-09-2024,1300.54050
01-09-2024,1300.32180
30-08-2024,1299.86010
29-08-2024,1299.62870
28-08-2024,1299.40190
27-08-2024,1299.18040
26-08-2024,1298.95920
25-08-2024,1298.73940
23-08-2024,1298.29520
22-08-2024,1298.07380
21-08-2024,1297.85180
20-08-2024,1297.62820
19-08-2024,1297.40340
18-08-2024,1297.18230
17-08-2024,1296.95840
16-08-2024,1296.73440
15-08-2024,1296.51070
14-08-2024,1296.28850
13-08-2024,1296.06710
12-08-2024,1295.84630
11-08-2024,1295.62880
09-08-2024,1295.18210
08-08-2024,1294.95920
07-08-2024,1294.73020
06-08-2024,1294.51280
05-08-2024,1294.29770
04-08-2024,1294.08050
02-08-2024,1293.64090
01-08-2024,1293.42140
31-07-2024,1293.20110
30-07-2024,1292.98000
29-07-2024,1292.75990
28-07-2024,1292.54080
26-07-2024,1292.09710
25-07-2024,1291.87710
24-07-2024,1291.65440
23-07-2024,1291.42510
22-07-2024,1291.19630
21-07-2024,1290.96940
19-07-2024,1290.52490
18-07-2024,1290.30390
17-07-2024,1290.08280
16-07-2024,1289.86230
15-07-2024,1289.64310
14-07-2024,1289.41800
13-07-2024,1289.20080
12-07-2024,1288.98370
11-07-2024,1288.76690
10-07-2024,1288.54400
09-07-2024,1288.32250
08-07-2024,1288.10270
07-07-2024,1287.87950
05-07-2024,1287.43660
04-07-2024,1287.21670
03-07-2024,1286.99880
02-07-2024,1286.78060
01-07-2024,1286.55910
30-06-2024,1286.33030
28-06-2024,1285.86930
27-06-2024,1285.63560
26-06-2024,1285.40620
25-06-2024,1285.18320
24-06-2024,1284.96030
23-06-2024,1284.73420
21-06-2024,1284.27360
20-06-2024,1284.04470
19-06-2024,1283.81990
18-06-2024,1283.59440
17-06-2024,1283.36600
14-06-2024,1282.67570
13-06-2024,1282.44600
12-06-2024,1282.22530
11-06-2024,1282.00500
10-06-2024,1281.78360
09-06-2024,1281.56280
07-06-2024,1281.12550
06-06-2024,1280.90650
05-06-2024,1280.68680
04-06-2024,1280.46660
03-06-2024,1280.24960
02-06-2024,1280.03190
01-06-2024,1279.80390
31-05-2024,1279.57600
30-05-2024,1279.34850
29-05-2024,1279.12620
28-05-2024,1278.90810
27-05-2024,1278.68890
26-05-2024,1278.46300
24-05-2024,1278.00690
23-05-2024,1277.77870
22-05-2024,1277.54910
21-05-2024,1277.31960
20-05-2024,1277.08730
18-05-2024,1276.62730
17-05-2024,1276.39740
16-05-2024,1276.17030
15-05-2024,1275.95540
14-05-2024,1275.73630
13-05-2024,1275.50760
12-05-2024,1275.28040
10-05-2024,1274.82300
09-05-2024,1274.59620
08-05-2024,1274.37170
07-05-2024,1274.14640
06-05-2024,1273.92570
05-05-2024,1273.71080
03-05-2024,1273.27840
02-05-2024,1273.06390
01-05-2024,1272.84320
30-04-2024,1272.61740
29-04-2024,1272.39000
28-04-2024,1272.16320
26-04-2024,1271.70870
25-04-2024,1271.48220
24-04-2024,1271.25550
23-04-2024,1271.02810
22-04-2024,1270.85490
21-04-2024,1270.63400
19-04-2024,1270.19380
18-04-2024,1269.97640
17-04-2024,1269.76070
16-04-2024,1269.54590
15-04-2024,1269.33270
14-04-2024,1269.11270
13-04-2024,1268.89200
12-04-2024,1268.67130
11-04-2024,1268.45190
10-04-2024,1268.22630
09-04-2024,1268.00090
08-04-2024,1267.78100
07-04-2024,1267.56300
05-04-2024,1267.11250
04-04-2024,1266.88800
03-04-2024,1266.66400
02-04-2024,1266.44740
01-04-2024,1266.22870
31-03-2024,1265.99290
28-03-2024,1265.28550
27-03-2024,1265.03240
26-03-2024,1264.81310
25-03-2024,1264.58730
22-03-2024,1263.90200
21-03-2024,1263.67540
20-03-2024,1263.44810
19-03-2024,1263.23390
18-03-2024,1263.01700
17-03-2024,1262.79460
16-03-2024,1262.56960
15-03-2024,1262.34450
14-03-2024,1262.12060
13-03-2024,1261.90900
12-03-2024,1261.69600
11-03-2024,1261.47670
10-03-2024,1261.25360
07-03-2024,1260.59240
06-03-2024,1260.37400
05-03-2024,1260.16430
04-03-2024,1259.95110
03-03-2024,1259.73040
01-03-2024,1259.28360
29-02-2024,1259.06170
28-02-2024,1258.83760
27-02-2024,1258.62460
26-02-2024,1258.40640
25-02-2024,1258.18280
23-02-2024,1257.71740
22-02-2024,1257.48680
21-02-2024,1257.26980
20-02-2024,1257.05440
19-02-2024,1256.83360
18-02-2024,1256.61130
16-02-2024,1256.16680
15-02-2024,1255.94480
14-02-2024,1255.72350
13-02-2024,1255.50090
12-02-2024,1255.27590
11-02-2024,1255.05190
09-02-2024,1254.60160
08-02-2024,1254.37720
07-02-2024,1254.15630
06-02-2024,1253.94470
05-02-2024,1253.73460
04-02-2024,1253.52420
02-02-2024,1253.09450
01-02-2024,1252.87780
31-01-2024,1252.65540
30-01-2024,1252.43080
29-01-2024,1252.20550
28-01-2024,1251.97930
25-01-2024,1251.29900
24-01-2024,1251.07460
23-01-2024,1250.84960
22-01-2024,1250.62420
21-01-2024,1250.39880
20-01-2024,1250.17340
19-01-2024,1249.94810
18-01-2024,1249.72480
17-01-2024,1249.49970
16-01-2024,1249.27460
15-01-2024,1249.04990
14-01-2024,1248.82570
12-01-2024,1248.37640
11-01-2024,1248.15270
10-01-2024,1247.92810
09-01-2024,1247.70060
08-01-2024,1247.47380
07-01-2024,1247.23830
05-01-2024,1246.78710
04-01-2024,1246.56120
03-01-2024,1246.33650
02-01-2024,1246.11280
01-01-2024,1245.88810
31-12-2023,1245.66380
30-12-2023,1245.43650
29-12-2023,1245.20920
28-12-2023,1244.98440
27-12-2023,1244.75850
26-12-2023,1244.53140
25-12-2023,1244.30530
22-12-2023,1243.63170
21-12-2023,1243.40890
20-12-2023,1243.18200
19-12-2023,1242.95840
18-12-2023,1242.73510
17-12-2023,1242.51080
16-12-2023,1242.28930
15-12-2023,1242.06780
14-12-2023,1241.84610
13-12-2023,1241.62310
12-12-2023,1241.39870
11-12-2023,1241.17570
10-12-2023,1240.95230
08-12-2023,1240.50580
07-12-2023,1240.28270
06-12-2023,1240.06030
05-12-2023,1239.83260
04-12-2023,1239.60990
03-12-2023,1239.38680
01-12-2023,1238.93830
30-11-2023,1238.71450
29-11-2023,1238.49040
28-11-2023,1238.26640
27-11-2023,1238.04310
24-11-2023,1237.37010
23-11-2023,1237.14650
22-11-2023,1236.92330
21-11-2023,1236.69840
20-11-2023,1236.46700
19-11-2023,1236.24410
18-11-2023,1236.02070
17-11-2023,1235.79710
16-11-2023,1235.57490
15-11-2023,1235.35170
14-11-2023,1235.12900
13-11-2023,1234.90440
12-11-2023,1234.68040
10-11-2023,1234.23290
09-11-2023,1234.00980
08-11-2023,1233.78780
07-11-2023,1233.56290
06-11-2023,1233.34250
05-11-2023,1233.11870
03-11-2023,1232.67850
02-11-2023,1232.45890
01-11-2023,1232.23760
31-10-2023,1232.01590
30-10-2023,1231.79450
28-10-2023,1231.35120
27-10-2023,1231.12930
26-10-2023,1230.90890
25-10-2023,1230.68750
24-10-2023,1230.46140
23-10-2023,1230.23930
22-10-2023,1230.01780
20-10-2023,1229.57580
19-10-2023,1229.35520
18-10-2023,1229.13450
17-10-2023,1228.91380
16-10-2023,1228.69190
15-10-2023,1228.47150
13-10-2023,1228.02880
12-10-2023,1227.80890
11-10-2023,1227.58760
10-10-2023,1227.36660
09-10-2023,1227.14700
08-10-2023,1226.92600
06-10-2023,1226.47480
05-10-2023,1226.24960
04-10-2023,1226.02490
03-10-2023,1225.79960
02-10-2023,1225.58020
29-09-2023,1224.91480
28-09-2023,1224.68990
27-09-2023,1224.46880
26-09-2023,1224.24900
25-09-2023,1224.02880
24-09-2023,1223.80880
22-09-2023,1223.36570
21-09-2023,1223.14540
20-09-2023,1222.92420
19-09-2023,1222.70310
18-09-2023,1222.48130
17-09-2023,1222.26140
15-09-2023,1221.82070
14-09-2023,1221.60080
13-09-2023,1221.38190
12-09-2023,1221.16290
11-09-2023,1220.94420
10-09-2023,1220.72720
08-09-2023,1220.28850
07-09-2023,1220.07050
06-09-2023,1219.86440
05-09-2023,1219.66120
04-09-2023,1219.45780
03-09-2023,1219.25170
01-09-2023,1218.82460
31-08-2023,1218.61230
30-08-2023,1218.39600
29-08-2023,1218.17730
28-08-2023,1217.95800
27-08-2023,1217.73790
25-08-2023,1217.29760
24-08-2023,1217.07840
23-08-2023,1216.85910
22-08-2023,1216.64020
21-08-2023,1216.42120
20-08-2023,1216.20310
18-08-2023,1215.76700
17-08-2023,1215.54920
16-08-2023,1215.32880
15-08-2023,1215.11540
14-08-2023,1214.90190
13-08-2023,1214.69030
11-08-2023,1214.26570
10-08-2023,1214.05400
09-08-2023,1213.84990
08-08-2023,1213.64530
07-08-2023,1213.44160
06-08-2023,1213.24040
04-08-2023,1212.83640
03-08-2023,1212.63580
02-08-2023,1212.43240
01-08-2023,1212.23000
31-07-2023,1212.02730
30-07-2023,1211.81880
28-07-2023,1211.39720
27-07-2023,1211.18880
26-07-2023,1210.98590
25-07-2023,1210.78010
24-07-2023,1210.57040
23-07-2023,1210.35910
22-07-2023,1210.14690
21-07-2023,1209.93460
20-07-2023,1209.72380
19-07-2023,1209.51660
18-07-2023,1209.31280
17-07-2023,1209.10930
16-07-2023,1208.90510
14-07-2023,1208.49720
13-07-2023,1208.29360
12-07-2023,1208.09140
11-07-2023,1207.88840
10-07-2023,1207.68310
09-07-2023,1207.47510
07-07-2023,1207.06320
06-07-2023,1206.85840
05-07-2023,1206.65410
04-07-2023,1206.45060
03-07-2023,1206.24810
02-07-2023,1206.04030
30-06-2023,1205.60740
29-06-2023,1205.39020
28-06-2023,1205.17260
27-06-2023,1204.95340
26-06-2023,1204.73710
25-06-2023,1204.52250
23-06-2023,1204.09730
22-06-2023,1203.88640
21-06-2023,1203.68500
20-06-2023,1203.47690
19-06-2023,1203.26880
18-06-2023,1203.05630
16-06-2023,1202.63380
15-06-2023,1202.42490
14-06-2023,1202.21580
13-06-2023,1202.00890
12-06-2023,1201.80730
11-06-2023,1201.60160
09-06-2023,1201.18130
08-06-2023,1200.97270
07-06-2023,1200.76270
06-06-2023,1200.55850
05-06-2023,1200.35840
04-06-2023,1200.15750
02-06-2023,1199.74950
01-06-2023,1199.54680
31-05-2023,1199.34850
30-05-2023,1199.14890
29-05-2023,1198.94930
28-05-2023,1198.74870
26-05-2023,1198.34490
25-05-2023,1198.14460
24-05-2023,1197.94380
23-05-2023,1197.74120
22-05-2023,1197.53770
21-05-2023,1197.33430
20-05-2023,1197.13230
19-05-2023,1196.93030
18-05-2023,1196.72610
17-05-2023,1196.52070
16-05-2023,1196.31180
15-05-2023,1196.09320
14-05-2023,1195.87650
13-05-2023,1195.65900
12-05-2023,1195.44140
11-05-2023,1195.22570
10-05-2023,1195.00870
09-05-2023,1194.79150
08-05-2023,1194.57560
07-05-2023,1194.36050
05-05-2023,1193.92610
04-05-2023,1193.70880
03-05-2023,1193.49320
02-05-2023,1193.27840
01-05-2023,1193.06940
28-04-2023,1192.41910
27-04-2023,1192.20130
26-04-2023,1191.97180
25-04-2023,1191.75650
24-04-2023,1191.54240
23-04-2023,1191.33030
21-04-2023,1190.90240
20-04-2023,1190.68990
19-04-2023,1190.47830
18-04-2023,1190.26940
17-04-2023,1190.05950
16-04-2023,1189.85450
14-04-2023,1189.45200
13-04-2023,1189.25040
12-04-2023,1189.04860
11-04-2023,1188.84930
10-04-2023,1188.65060
09-04-2023,1188.45020
06-04-2023,1187.85000
05-04-2023,1187.64790
04-04-2023,1187.44890
03-04-2023,1187.25030
02-04-2023,1187.05150
31-03-2023,1186.59850
30-03-2023,1186.37020
29-03-2023,1185.98250
28-03-2023,1185.76570
27-03-2023,1185.55330
26-03-2023,1185.34200
24-03-2023,1184.92970
23-03-2023,1184.72990
22-03-2023,1184.52180
21-03-2023,1184.31160
20-03-2023,1184.10160
19-03-2023,1183.87860
18-03-2023,1183.66700
17-03-2023,1183.45540
16-03-2023,1183.24470
15-03-2023,1183.03780
14-03-2023,1182.84030
13-03-2023,1182.64740
12-03-2023,1182.45050
11-03-2023,1182.25480
10-03-2023,1182.05900
09-03-2023,1181.86360
08-03-2023,1181.66480
07-03-2023,1181.46650
06-03-2023,1181.27010
05-03-2023,1181.07410
03-03-2023,1180.68190
02-03-2023,1180.48600
01-03-2023,1180.29100
28-02-2023,1180.09340
27-02-2023,1179.88460
26-02-2023,1179.67790
25-02-2023,1179.46810
24-02-2023,1179.25830
23-02-2023,1179.04910
22-02-2023,1178.84670
21-02-2023,1178.64060
20-02-2023,1178.43690
19-02-2023,1178.23020
17-02-2023,1177.83430
16-02-2023,1177.63630
15-02-2023,1177.44150
14-02-2023,1177.24610
13-02-2023,1177.04990
12-02-2023,1176.85190
10-02-2023,1176.44000
09-02-2023,1176.23480
08-02-2023,1176.02590
07-02-2023,1175.82760
06-02-2023,1175.63710
05-02-2023,1175.44930
03-02-2023,1175.07480
02-02-2023,1174.88790
01-02-2023,1174.70130
31-01-2023,1174.50940
30-01-2023,1174.30900
29-01-2023,1174.10620
27-01-2023,1173.70400
26-01-2023,1173.50310
25-01-2023,1173.30050
24-01-2023,1173.09860
23-01-2023,1172.89640
22-01-2023,1172.69740
20-01-2023,1172.30990
19-01-2023,1172.11740
18-01-2023,1171.92960
17-01-2023,1171.74050
16-01-2023,1171.54720
15-01-2023,1171.36000
14-01-2023,1171.16850
13-01-2023,1170.97690
12-01-2023,1170.78610
11-01-2023,1170.60100
10-01-2023,1170.41600
09-01-2023,1170.23020
08-01-2023,1170.04430
06-01-2023,1169.67230
05-01-2023,1169.48600
04-01-2023,1169.30110
03-01-2023,1169.11620
02-01-2023,1168.92900
01-01-2023,1168.74260
30-12-2022,1168.34140
29-12-2022,1168.14110
28-12-2022,1167.94560
27-12-2022,1167.75230
