Date,NAV
13-10-2024,3179.14530
12-10-2024,3178.56450
11-10-2024,3177.98410
10-10-2024,3177.37210
09-10-2024,3176.79100
08-10-2024,3176.09530
07-10-2024,3175.45800
06-10-2024,3174.86980
05-10-2024,3174.28280
04-10-2024,3173.69660
03-10-2024,3173.01680
02-10-2024,3172.21950
01-10-2024,3171.63320
30-09-2024,3170.89440
29-09-2024,3169.82070
28-09-2024,3169.22300
27-09-2024,3168.62590
26-09-2024,3168.04430
25-09-2024,3167.41990
24-09-2024,3166.87110
23-09-2024,3166.23290
22-09-2024,3165.58220
21-09-2024,3164.98410
20-09-2024,3164.38660
19-09-2024,3163.71890
18-09-2024,3163.01560
17-09-2024,3162.41420
16-09-2024,3161.78970
15-09-2024,3161.19540
14-09-2024,3160.59890
13-09-2024,3160.00280
12-09-2024,3159.40980
11-09-2024,3158.84090
10-09-2024,3158.26440
09-09-2024,3157.74820
08-09-2024,3157.15460
07-09-2024,3156.56030
06-09-2024,3155.96630
05-09-2024,3155.42160
04-09-2024,3154.87480
03-09-2024,3154.29020
02-09-2024,3153.71380
01-09-2024,3153.06860
30-08-2024,3151.88590
29-08-2024,3151.29630
28-08-2024,3150.74840
27-08-2024,3150.19050
26-08-2024,3149.61110
25-08-2024,3149.02760
23-08-2024,3147.86770
22-08-2024,3147.28160
21-08-2024,3146.67040
20-08-2024,3146.11590
19-08-2024,3145.48140
18-08-2024,3144.91440
16-08-2024,3143.75080
15-08-2024,3143.14320
14-08-2024,3142.55570
13-08-2024,3141.95850
12-08-2024,3141.38840
11-08-2024,3140.83290
10-08-2024,3140.25170
09-08-2024,3139.67050
08-08-2024,3139.07740
07-08-2024,3138.49190
06-08-2024,3137.87030
05-08-2024,3137.33500
04-08-2024,3136.74200
02-08-2024,3135.54700
01-08-2024,3135.03120
31-07-2024,3134.42420
30-07-2024,3133.85650
29-07-2024,3133.25560
28-07-2024,3132.68810
26-07-2024,3131.51420
25-07-2024,3130.94690
24-07-2024,3130.35970
23-07-2024,3129.77070
22-07-2024,3129.22660
21-07-2024,3128.65360
20-07-2024,3128.08110
19-07-2024,3127.50850
18-07-2024,3126.91970
17-07-2024,3126.29400
16-07-2024,3125.72210
15-07-2024,3125.18480
14-07-2024,3124.51110
13-07-2024,3123.91960
12-07-2024,3123.32850
11-07-2024,3122.74540
10-07-2024,3122.08450
09-07-2024,3121.45830
08-07-2024,3120.85880
07-07-2024,3120.35720
05-07-2024,3119.20280
04-07-2024,3118.68940
03-07-2024,3118.16120
02-07-2024,3117.52900
01-07-2024,3116.70030
30-06-2024,3115.82540
28-06-2024,3114.64760
27-06-2024,3113.82600
26-06-2024,3113.26820
25-06-2024,3112.77200
24-06-2024,3112.32700
23-06-2024,3111.77910
21-06-2024,3110.60510
20-06-2024,3109.98110
19-06-2024,3109.38770
18-06-2024,3108.79780
17-06-2024,3108.22310
16-06-2024,3107.63870
15-06-2024,3107.05430
14-06-2024,3106.47020
13-06-2024,3105.85530
12-06-2024,3105.33240
11-06-2024,3104.72830
10-06-2024,3104.13660
09-06-2024,3103.53660
07-06-2024,3102.37550
06-06-2024,3101.82050
05-06-2024,3101.14270
04-06-2024,3100.52800
03-06-2024,3099.98870
02-06-2024,3099.32450
31-05-2024,3098.16220
30-05-2024,3097.57920
29-05-2024,3096.98160
28-05-2024,3096.38680
27-05-2024,3095.83730
26-05-2024,3095.26030
25-05-2024,3094.67840
24-05-2024,3094.09630
23-05-2024,3093.46590
22-05-2024,3092.88670
21-05-2024,3092.28070
20-05-2024,3091.28200
18-05-2024,3090.09520
17-05-2024,3089.50250
16-05-2024,3088.90260
15-05-2024,3088.27860
14-05-2024,3087.64680
13-05-2024,3086.95970
12-05-2024,3086.32520
11-05-2024,3085.72630
10-05-2024,3085.12760
09-05-2024,3084.62810
08-05-2024,3084.14390
07-05-2024,3083.71500
06-05-2024,3083.22980
05-05-2024,3082.64090
04-05-2024,3082.06530
03-05-2024,3081.48980
02-05-2024,3080.85210
01-05-2024,3080.17980
30-04-2024,3079.58380
29-04-2024,3079.08240
28-04-2024,3078.57260
27-04-2024,3077.99000
26-04-2024,3077.40660
25-04-2024,3076.95100
24-04-2024,3076.54760
23-04-2024,3076.06890
22-04-2024,3075.47600
21-04-2024,3074.92740
20-04-2024,3074.35840
19-04-2024,3073.78990
18-04-2024,3073.30320
17-04-2024,3072.73920
16-04-2024,3072.16080
15-04-2024,3071.55200
14-04-2024,3070.89480
13-04-2024,3070.32290
12-04-2024,3069.75040
11-04-2024,3069.12540
10-04-2024,3068.54970
09-04-2024,3067.54110
08-04-2024,3066.95440
07-04-2024,3066.04000
05-04-2024,3064.89180
04-04-2024,3064.21060
03-04-2024,3063.49430
02-04-2024,3062.88830
01-04-2024,3061.24130
31-03-2024,3060.63220
30-03-2024,3060.02830
28-03-2024,3058.82190
27-03-2024,3056.53160
26-03-2024,3056.04870
25-03-2024,3055.77690
22-03-2024,3053.92860
21-03-2024,3053.58710
20-03-2024,3053.11910
19-03-2024,3052.54760
18-03-2024,3051.90310
17-03-2024,3051.36990
15-03-2024,3050.16140
14-03-2024,3049.67150
13-03-2024,3049.22860
12-03-2024,3048.53230
11-03-2024,3047.81490
10-03-2024,3047.16100
07-03-2024,3045.36330
06-03-2024,3044.68300
05-03-2024,3044.11640
04-03-2024,3043.50330
03-03-2024,3042.80780
02-03-2024,3042.21790
01-03-2024,3041.62740
29-02-2024,3041.03380
28-02-2024,3040.35450
27-02-2024,3039.72350
26-02-2024,3039.04130
25-02-2024,3038.47320
23-02-2024,3037.29690
22-02-2024,3036.66650
21-02-2024,3035.83920
20-02-2024,3035.14450
19-02-2024,3034.53450
18-02-2024,3033.94500
16-02-2024,3032.76960
15-02-2024,3032.10410
14-02-2024,3031.40720
13-02-2024,3030.80700
12-02-2024,3030.20280
11-02-2024,3029.67840
09-02-2024,3028.49830
08-02-2024,3027.93210
07-02-2024,3027.38910
06-02-2024,3026.82800
05-02-2024,3026.26960
04-02-2024,3025.65950
02-02-2024,3024.47410
01-02-2024,3023.87060
31-01-2024,3023.26520
30-01-2024,3022.65730
29-01-2024,3022.10110
28-01-2024,3021.52460
25-01-2024,3019.77740
24-01-2024,3019.28930
23-01-2024,3018.85360
22-01-2024,3018.44460
21-01-2024,3017.87640
20-01-2024,3017.30930
19-01-2024,3016.74190
18-01-2024,3016.22080
17-01-2024,3015.67350
16-01-2024,3015.17770
15-01-2024,3014.67900
14-01-2024,3014.15350
12-01-2024,3013.02290
11-01-2024,3012.40730
10-01-2024,3011.84970
09-01-2024,3011.23830
08-01-2024,3010.53750
07-01-2024,3009.91280
05-01-2024,3008.75220
04-01-2024,3008.17410
03-01-2024,3007.51340
02-01-2024,3006.92050
01-01-2024,3006.20450
31-12-2023,3005.46480
30-12-2023,3004.88850
29-12-2023,3004.31240
28-12-2023,3003.29580
27-12-2023,3002.53380
26-12-2023,3002.04010
25-12-2023,3001.49160
24-12-2023,3000.91010
22-12-2023,2999.74780
21-12-2023,2999.19010
20-12-2023,2998.58310
19-12-2023,2997.98780
18-12-2023,2997.29770
17-12-2023,2996.79400
15-12-2023,2995.62340
14-12-2023,2995.14940
13-12-2023,2994.64340
12-12-2023,2994.05480
11-12-2023,2993.65040
10-12-2023,2993.19700
08-12-2023,2992.05880
07-12-2023,2991.53300
06-12-2023,2990.92640
05-12-2023,2990.30540
04-12-2023,2989.69760
03-12-2023,2989.20100
01-12-2023,2988.05980
30-11-2023,2987.54950
29-11-2023,2987.02210
28-11-2023,2986.49610
27-11-2023,2985.93850
26-11-2023,2985.37320
24-11-2023,2984.24280
23-11-2023,2983.71440
22-11-2023,2983.17080
21-11-2023,2982.61390
20-11-2023,2982.06500
19-11-2023,2981.52570
17-11-2023,2980.38970
16-11-2023,2979.88470
15-11-2023,2979.35280
14-11-2023,2978.76960
12-11-2023,2977.61440
10-11-2023,2976.48800
09-11-2023,2975.99260
08-11-2023,2975.49330
07-11-2023,2974.94890
06-11-2023,2974.40730
05-11-2023,2973.82160
03-11-2023,2972.70040
02-11-2023,2972.16980
01-11-2023,2971.54640
31-10-2023,2970.97270
30-10-2023,2970.43780
29-10-2023,2969.88450
27-10-2023,2968.79590
26-10-2023,2968.25320
25-10-2023,2967.74690
24-10-2023,2967.22400
23-10-2023,2966.68000
22-10-2023,2966.18000
20-10-2023,2965.08020
19-10-2023,2964.69450
18-10-2023,2964.27730
17-10-2023,2963.70070
16-10-2023,2963.16280
15-10-2023,2962.63360
13-10-2023,2961.56490
12-10-2023,2961.03380
11-10-2023,2960.49610
10-10-2023,2959.96280
09-10-2023,2959.46830
08-10-2023,2958.94630
06-10-2023,2957.88780
05-10-2023,2957.44370
04-10-2023,2956.93990
03-10-2023,2956.39110
02-10-2023,2955.79020
01-10-2023,2955.25470
29-09-2023,2954.18370
28-09-2023,2953.46520
27-09-2023,2952.96610
26-09-2023,2952.32290
25-09-2023,2951.93050
24-09-2023,2951.40950
22-09-2023,2950.33900
21-09-2023,2949.81640
20-09-2023,2949.22920
19-09-2023,2948.70700
18-09-2023,2948.15410
17-09-2023,2947.66430
15-09-2023,2946.59850
14-09-2023,2946.06360
13-09-2023,2945.39200
12-09-2023,2944.88420
11-09-2023,2944.45480
10-09-2023,2943.94040
08-09-2023,2942.87530
07-09-2023,2942.38790
06-09-2023,2941.88820
05-09-2023,2941.35660
04-09-2023,2940.82400
03-09-2023,2940.33000
01-09-2023,2939.27830
31-08-2023,2938.69820
30-08-2023,2938.15750
29-08-2023,2937.60750
28-08-2023,2937.07740
27-08-2023,2936.49530
25-08-2023,2935.42840
24-08-2023,2934.86990
23-08-2023,2934.32290
22-08-2023,2933.80050
21-08-2023,2933.26150
20-08-2023,2932.77740
18-08-2023,2931.72360
17-08-2023,2931.17190
16-08-2023,2930.73710
15-08-2023,2930.20980
14-08-2023,2929.68330
13-08-2023,2929.26140
11-08-2023,2928.21620
10-08-2023,2927.74620
09-08-2023,2927.37500
08-08-2023,2926.83620
07-08-2023,2926.36880
06-08-2023,2925.92980
04-08-2023,2924.91650
03-08-2023,2924.41630
02-08-2023,2923.86440
01-08-2023,2923.28810
31-07-2023,2922.71410
30-07-2023,2922.18910
28-07-2023,2921.14700
27-07-2023,2920.69400
26-07-2023,2920.19090
25-07-2023,2919.64030
24-07-2023,2919.15780
23-07-2023,2918.64580
21-07-2023,2917.61250
20-07-2023,2917.11560
19-07-2023,2916.60440
18-07-2023,2916.06910
17-07-2023,2915.57230
16-07-2023,2915.03210
14-07-2023,2914.00830
13-07-2023,2913.50940
