Date,NAV
13-10-2024,2889.84630
10-10-2024,2888.20920
09-10-2024,2887.66000
08-10-2024,2887.00230
07-10-2024,2886.40750
06-10-2024,2885.82980
05-10-2024,2885.29100
03-10-2024,2884.12490
02-10-2024,2883.37400
30-09-2024,2882.20650
29-09-2024,2881.28490
26-09-2024,2879.61570
25-09-2024,2878.96130
24-09-2024,2878.46410
23-09-2024,2877.84460
22-09-2024,2877.23680
20-09-2024,2876.13520
19-09-2024,2875.51790
18-09-2024,2874.88990
17-09-2024,2874.31860
16-09-2024,2873.75320
15-09-2024,2873.20350
14-09-2024,2872.64200
13-09-2024,2872.08090
12-09-2024,2871.53060
11-09-2024,2870.97970
10-09-2024,2870.45910
09-09-2024,2869.98310
08-09-2024,2869.42690
05-09-2024,2867.84670
04-09-2024,2867.33610
03-09-2024,2866.80770
02-09-2024,2866.27290
01-09-2024,2865.67160
29-08-2024,2864.07530
28-08-2024,2863.55060
27-08-2024,2863.02550
26-08-2024,2862.49540
25-08-2024,2861.95610
22-08-2024,2860.31240
21-08-2024,2859.75860
20-08-2024,2859.24760
19-08-2024,2858.65660
18-08-2024,2858.14840
15-08-2024,2856.50100
13-08-2024,2855.39330
12-08-2024,2854.88260
11-08-2024,2854.36770
08-08-2024,2852.73520
07-08-2024,2852.18880
06-08-2024,2851.61950
05-08-2024,2851.11500
04-08-2024,2850.58100
01-08-2024,2849.00150
31-07-2024,2848.44430
30-07-2024,2847.92460
29-07-2024,2847.34370
28-07-2024,2846.85530
25-07-2024,2845.25490
24-07-2024,2844.68660
23-07-2024,2844.12590
22-07-2024,2843.60070
21-07-2024,2843.05270
18-07-2024,2841.43060
17-07-2024,2840.84000
15-07-2024,2839.80840
14-07-2024,2839.21530
12-07-2024,2838.14800
11-07-2024,2837.56940
10-07-2024,2836.93300
09-07-2024,2836.40040
08-07-2024,2835.85330
07-07-2024,2835.39930
05-07-2024,2834.34380
04-07-2024,2833.89310
03-07-2024,2833.36520
02-07-2024,2832.79960
01-07-2024,2831.93440
30-06-2024,2831.06600
28-06-2024,2829.91780
27-06-2024,2829.28560
26-06-2024,2828.76790
25-06-2024,2828.28850
24-06-2024,2827.92940
23-06-2024,2827.41760
20-06-2024,2825.75900
19-06-2024,2825.20730
18-06-2024,2824.65700
17-06-2024,2824.11370
13-06-2024,2821.95130
12-06-2024,2821.46400
11-06-2024,2820.89710
10-06-2024,2820.35670
09-06-2024,2819.79590
06-06-2024,2818.19490
05-06-2024,2817.61160
04-06-2024,2817.03430
03-06-2024,2816.52920
02-06-2024,2815.89270
30-05-2024,2814.28680
29-05-2024,2813.77470
28-05-2024,2813.21250
27-05-2024,2812.70280
26-05-2024,2812.16870
23-05-2024,2810.52570
22-05-2024,2809.97190
21-05-2024,2809.43520
