Code,Scheme Name,NAV,ISIN Div Payout,ISIN Growth,ISIN Div Reinvestment
119069,HDFC Income Fund - Growth Option - Direct Plan,61.03290,INF179K01WL3,N/A,N/A
134869,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Monthly)-Regular Plan-IDCW Reinvestment,34.79390,INF767K01AE6,N/A,N/A
100244,JM Liquid Fund (Regular) - Quarterly IDCW,38.64250,INF192K01866INF192K01874,N/A,N/A
120259,LIC MF ULIS (5 Yrs. Single Premium)-Direct Plan-IDCW Reinvestment,38.40720,INF767K01DO9,N/A,N/A
118924,DSP Bond Fund - Direct Plan - Growth,81.97840,INF740K01MZ3,N/A,N/A
120485,JM Value Fund (Direct) - IDCW,74.90260,INF192K01BR7INF192K01BS5,N/A,N/A
131476,JM Aggressive Hybrid Fund (Regular) - Annual IDCW,33.62810,INF192K01HF9INF192K01HG7,N/A,N/A
119219,DSP Equity Opportunities Fund - Direct Plan - IDCW,115.58000,INF740K01PM4INF740K01PN2,N/A,N/A
120587,ICICI Prudential FMCG Fund - Direct Plan -  Growth,527.77000,INF109K01Z14,N/A,N/A
100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,100.31820,INF209K01KU4INF209KA1LJ9,N/A,N/A
133401,JM Aggressive Hybrid Fund (Direct) - Bonus Option - Principal Units,140.08700,INF192K01GP0,N/A,N/A
100265,Kotak Gilt-Investment Regular-Growth,92.66480,INF174K01FI5,N/A,N/A
100222,JM Medium to Long Duration Fund (Regular) - Quarterly IDCW,19.97650,INF192K01999INF192K01AA5,N/A,N/A
133409,JM Aggressive Hybrid Fund (Direct) - Half Yearly Bonus Option - Principal Units,140.08700,INF192K01HV6,N/A,N/A
100086,DSP Gilt Fund - Regular Plan - IDCW - Monthly,10.64980,INF740K01623INF740K01AE3,N/A,N/A
119100,DSP Gilt Fund - Direct Plan - IDCW - Monthly,10.71230,INF740K01NE6INF740K01NH9,N/A,N/A
118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,530.04600,INF179K01WA6,N/A,N/A
134886,LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Yearly)-Direct Plan-IDCW Reinvestment,38.40720,INF767K01EB4,N/A,N/A
120408,JM Liquid Fund (Direct) - Quarterly IDCW,39.15090,INF192K01CK0INF192K01CL8,N/A,N/A
120410,JM Liquid Fund (Direct) - Bonus Option - Bonus Option - Principal units,22.17750,INF192K01CN4,N/A,N/A
,,N/A,,N/A,N/A
106871,LIC MF Large Cap Fund-Regular Plan-Growth,52.76070,INF767K01105,N/A,N/A
100124,HDFC Income Fund - Growth Option,55.38100,INF179K01962,N/A,N/A
120828,quant Small Cap Fund - Growth Option - Direct Plan,277.55740,INF966L01689,N/A,N/A
120430,JM Medium to Long Duration Fund (Direct) - Growth Option,65.25490,INF192K01CW5,N/A,N/A
,,N/A,,N/A,N/A
